time_iso,mag,class,id,longitude,latitude
1987-11-02 21:43:35+00:00,5.4,slab_deep,9902,-68.829,-22.636
1987-11-18 12:46:53+00:00,5.3,slab_deep,10019,-70.19,-25.99
1987-12-27 20:37:57+00:00,5.3,intra_slab,10226,-72.881,-16.656
1987-12-30 11:56:28+00:00,5.4,slab_deep,10243,-71.01,-34.74
1988-01-05 08:54:10+00:00,5.4,slab_deep,10284,-73.541,-16.05
1988-01-15 09:17:28+00:00,5.3,slab_deep,10329,-68.973,-23.162
1988-02-01 13:33:02+00:00,5.3,slab_deep,10412,-69.89,-23.9
1988-02-06 07:42:41+00:00,5.3,slab_deep,10433,-68.87,-19.77
1988-02-06 18:03:59+00:00,6.5,slab_deep,10432,-67.02,-18.03
1988-02-11 21:31:01+00:00,5.2,slab_deep,10468,-71.198,-39.957
1988-02-13 03:15:36+00:00,5.5,slab_deep,10478,-68.333,-22.326
1988-02-18 14:37:10+00:00,5.2,slab_deep,10498,-66.544,-21.343
1988-02-20 23:08:40+00:00,5.8,slab_deep,10509,-70.122,-17.076
1988-02-22 19:13:26+00:00,6.6,slab_deep,10520,-69.57,-20.53
1988-02-25 18:39:27+00:00,5.5,intra_slab,10532,-71.728,-27.725
1988-02-26 02:31:26+00:00,5.5,slab_deep,10537,-70.09,-17.99
1988-02-29 10:56:21+00:00,5.4,slab_deep,10551,-68.899,-29.252
1988-03-04 05:11:05+00:00,5.2,intra_slab,10564,-70.293,-22.769
1988-03-20 03:34:13+00:00,5.6,slab_deep,10606,-69.333,-19.454
1988-03-24 15:30:09+00:00,5.5,slab_deep,10619,-68.357,-21.905
1988-04-11 20:53:14+00:00,5.4,slab_deep,10666,-67.354,-27.539
1988-04-13 00:39:42+00:00,6.2,intra_slab,10677,-73.21,-17.66
1988-04-13 12:07:33+00:00,5.3,intra_slab,10680,-72.446,-17.485
1988-05-05 17:39:26+00:00,5.4,intra_slab,10744,-71.23,-29.57
1988-05-15 09:08:43+00:00,5.7,intra_slab,10800,-71.421,-31.69
1988-05-20 03:20:01+00:00,5.6,slab_deep,10816,-69.62,-17.51
1988-05-21 14:28:40+00:00,5.5,intra_slab,10822,-71.823,-32.959
1988-05-28 10:05:45+00:00,5.5,slab_deep,10897,-67.053,-24.264
1988-05-30 21:22:13+00:00,6.2,slab_deep,10917,-69.061,-31.515
1988-06-01 07:41:18+00:00,5.3,intra_slab,10935,-71.657,-29.84
1988-06-07 05:26:02+00:00,5.2,slab_deep,10970,-68.804,-30.239
1988-06-16 15:42:31+00:00,5.2,slab_deep,11000,-67.181,-31.965
1988-06-16 23:39:10+00:00,5.6,intra_slab,10999,-69.875,-21.746
1988-06-26 13:51:16+00:00,5.4,slab_deep,11055,-67.442,-21.845
1988-06-30 15:21:19+00:00,5.4,slab_deep,11080,-67.15,-23.82
1988-07-04 13:54:21+00:00,5.8,intra_slab,11093,-71.72,-18.35
1988-07-08 18:44:00+00:00,5.3,slab_deep,11110,-69.72,-16.369
1988-07-09 18:25:55+00:00,5.3,slab_deep,11119,-69.361,-32.372
1988-07-28 17:12:42+00:00,6.1,slab_deep,11208,-65.61,-22.01
1988-08-04 06:00:50+00:00,5.2,slab_deep,11234,-67.461,-28.822
1988-08-12 13:32:11+00:00,5.4,slab_deep,11248,-72.395,-36.467
1988-08-14 17:53:18+00:00,6.6,intra_slab,11251,-71.23,-27.31
1988-08-26 22:15:08+00:00,5.4,slab_deep,11292,-70.818,-31.117
1988-09-01 05:36:12+00:00,5.2,slab_deep,11311,-69.46,-16.743
1988-09-14 21:23:00+00:00,5.2,slab_deep,11334,-68.784,-21.553
1988-09-14 22:14:14+00:00,5.9,slab_deep,11333,-68.24,-23.5
1988-09-20 16:20:22+00:00,5.2,slab_deep,11346,-73.002,-16.284
1988-09-27 14:40:24+00:00,5.3,slab_deep,11369,-66.651,-27.879
1988-10-14 19:11:54+00:00,5.4,slab_deep,11407,-67.69,-23.21
1988-10-17 20:33:25+00:00,5.7,slab_deep,11412,-69.405,-24.023
1988-10-17 21:39:31+00:00,5.6,slab_deep,11413,-70.169,-25.503
1988-10-21 02:52:06+00:00,5.6,intra_slab,11428,-72.167,-31.745
1988-11-12 19:03:28+00:00,5.3,slab_deep,11464,-70.441,-28.433
1988-11-15 01:05:55+00:00,5.2,intra_slab,11471,-71.245,-30.125
1988-11-28 00:31:32+00:00,5.3,slab_deep,11508,-68.5,-20.36
1988-12-10 17:05:44+00:00,5.3,slab_deep,11542,-69.887,-24.02
1988-12-11 18:32:46+00:00,5.2,intra_slab,11548,-70.333,-20.534
1988-12-18 08:58:53+00:00,5.3,slab_deep,11570,-69.244,-25.395
1988-12-20 14:17:09+00:00,5.4,slab_deep,11573,-68.917,-19.648
1988-12-24 04:27:06+00:00,6.1,slab_deep,11585,-66.7,-23.43
1988-12-27 04:05:53+00:00,5.2,slab_deep,11595,-68.642,-19.971
1988-12-27 10:06:37+00:00,5.6,slab_deep,11594,-68.34,-29.112
1989-01-30 08:38:41+00:00,5.2,intra_slab,11673,-71.307,-30.809
1989-03-05 14:18:18+00:00,5.4,intra_slab,11737,-72.315,-31.173
1989-03-07 12:24:38+00:00,5.4,slab_deep,11744,-70.701,-29.456
1989-03-19 10:16:44+00:00,5.3,slab_deep,11765,-68.424,-21.089
1989-03-23 21:22:38+00:00,5.3,slab_deep,11775,-67.326,-28.858
1989-04-01 21:58:18+00:00,5.3,slab_deep,11800,-70.19,-32.86
1989-04-05 23:47:54+00:00,6.2,slab_deep,11808,-69.09,-21.13
1989-04-06 16:54:30+00:00,5.2,slab_deep,11817,-67.13,-19.072
1989-04-27 08:38:45+00:00,5.2,slab_deep,11865,-67.182,-24.008
1989-05-02 06:58:41+00:00,5.5,slab_deep,11879,-67.466,-26.521
1989-05-10 22:18:46+00:00,5.7,slab_deep,11900,-69.19,-23.282
1989-05-15 06:13:31+00:00,5.2,slab_deep,11911,-67.937,-18.365
1989-05-19 11:51:01+00:00,5.4,slab_deep,11925,-70.07,-24.86
1989-06-07 18:53:13+00:00,5.3,intra_slab,11955,-74.623,-40.048
1989-06-17 18:28:07+00:00,5.6,intra_slab,11965,-75.0,-40.551
1989-06-19 16:00:52+00:00,5.7,slab_deep,11970,-67.6,-22.05
1989-07-03 11:14:06+00:00,5.3,intra_slab,11995,-71.489,-31.498
1989-07-05 09:52:44+00:00,5.3,intra_slab,11997,-71.949,-30.563
1989-08-06 19:43:18+00:00,5.4,slab_deep,12051,-70.891,-31.684
1989-08-19 17:29:56+00:00,5.2,slab_deep,12082,-67.486,-27.641
1989-08-27 12:41:30+00:00,5.3,slab_deep,12104,-70.453,-17.616
1989-08-31 08:17:23+00:00,5.8,slab_deep,12110,-71.678,-41.85
1989-09-01 14:42:22+00:00,5.4,slab_deep,12112,-70.134,-28.012
1989-10-03 21:33:44+00:00,5.4,slab_deep,12210,-66.65,-24.21
1989-10-05 13:02:05+00:00,5.2,intra_slab,12215,-70.237,-22.362
1989-10-23 03:30:42+00:00,5.6,slab_deep,12244,-65.441,-30.875
1989-10-23 23:41:36+00:00,5.3,slab_deep,12245,-66.39,-27.51
1989-11-01 06:40:37+00:00,6.1,slab_deep,12276,-67.8,-21.45
1989-11-08 05:12:42+00:00,5.3,slab_deep,12302,-69.0,-27.655
1989-11-09 09:07:57+00:00,5.4,slab_deep,12306,-70.553,-33.909
1989-11-10 13:42:52+00:00,5.6,slab_deep,12311,-66.002,-22.762
1989-12-12 16:15:37+00:00,5.4,slab_deep,12407,-67.171,-20.809
1989-12-13 04:03:56+00:00,5.3,intra_slab,12411,-71.839,-32.654
1989-12-28 13:41:16+00:00,5.4,slab_deep,12450,-69.423,-16.526
1989-12-30 12:38:17+00:00,5.5,intra_slab,12453,-71.42,-26.57
1990-01-27 09:10:53+00:00,5.2,slab_deep,12483,-69.915,-16.521
1990-01-27 23:18:18+00:00,5.4,intra_slab,12482,-74.425,-38.321
1990-02-04 20:26:13+00:00,5.7,slab_deep,12500,-68.423,-22.374
1990-02-10 02:46:13+00:00,5.4,intra_slab,12518,-71.271,-18.784
1990-02-10 04:03:48+00:00,5.3,intra_slab,12519,-71.47,-19.243
1990-02-22 16:44:32+00:00,5.6,slab_deep,12553,-68.86,-24.764
1990-02-25 22:51:16+00:00,5.6,slab_deep,12562,-68.72,-18.35
1990-03-07 02:13:31+00:00,5.2,slab_deep,12586,-70.079,-33.802
