site,class,M,model,obs,n_obs,ratio
santiago_centro,total,7.0,0.017610098772263605,0.026999450461647825,2,0.6522391556553492
santiago_penalolen,total,5.0,1.7566473410700232,2.758798981718128,145,0.6367435078492077
santiago_penalolen,total,5.5,0.5561984729264094,0.6867373547681959,42,0.8099144004102572
santiago_penalolen,total,6.0,0.17570547254008168,0.16080166439443203,10,1.0926844146904595
santiago_penalolen,total,6.5,0.05485632817407344,0.05956786578001746,4,0.92090471021165
santiago_penalolen,total,7.0,0.016391286069148144,0.026999450461647825,2,0.6070970256387861
concepcion,total,5.0,1.5667616498568977,0.8061565735106107,42,1.9434954713996089
concepcion,total,5.5,0.5114039927218145,0.195966250194072,12,2.6096534082545024
concepcion,total,6.0,0.1663209950641181,0.05399890092329565,4,3.080081116842984
concepcion,total,6.5,0.053231911430931006,0.016260615031886836,2,3.2736714648581238
concepcion,total,7.0,0.01608997390372807,0.016260615031886836,2,0.9895058626119527
pucon,total,5.0,0.46715772834675057,0.5766214867466732,29,0.8101635805881557
pucon,total,5.5,0.1508192559586108,0.09606392804137538,6,1.569988434094137
pucon,total,6.0,0.048547897489352204,0.013699272372665224,1,3.5438303705985157
pucon,total,6.5,0.015404404721362931,0.013699272372665224,1,1.1244688259575037
pucon,total,7.0,0.004637787029939394,0.0,0,
puerto_montt,total,5.0,0.2089487228244406,0.17772002329367256,9,1.1757185203558314
puerto_montt,total,5.5,0.06847193413975426,0.08236465566871017,5,0.8313266604933593
puerto_montt,total,6.0,0.022349976470410208,0.05061689930720729,3,0.4415516710093662
puerto_montt,total,6.5,0.007174841853700518,0.0,0,
puerto_montt,total,7.0,0.002171653493140054,0.0,0,
puerto_aysen,total,5.0,0.007278798127328481,0.0,0,
puerto_aysen,total,5.5,0.0023990488030501316,0.0,0,
puerto_aysen,total,6.0,0.0007872233761576117,0.0,0,
puerto_aysen,total,6.5,0.00025381585619652927,0.0,0,
puerto_aysen,total,7.0,7.697478439973719e-05,0.0,0,
