set,dm,dy,b,b_err,n_fit,a,N8.0,steps,N7.0
intra_slab,0.2,5,0.9136813333788327,0.0722003393646087,157,5.629739853161645,,"[[7.7, 1900], [5.3, 1975], [5.0, 1995], [4.9, 2015]]",0.17138409657431955
slab_deep,-0.2,-5,1.0174254717299374,0.06917110071651766,232,6.4079955056757045,,"[[7.3, 1900], [6.3, 1945], [4.9, 1955], [4.5, 1985], [4.3, 2005]]",0.19320448489656836
slab_deep,-0.2,0,1.0452311188688153,0.0690667487033825,222,6.5817735753495725,,"[[7.3, 1900], [6.3, 1950], [4.9, 1960], [4.5, 1990], [4.3, 2010]]",0.18414322430098184
slab_deep,-0.2,5,1.0729413432166472,0.07351380343213353,204,6.739958836082675,,"[[7.3, 1900], [6.3, 1955], [4.9, 1965], [4.5, 1995], [4.3, 2015]]",0.16957797058556034
slab_deep,-0.1,-5,1.007560589306453,0.0644428934018139,230,6.352289418447608,,"[[7.4, 1900], [6.4, 1945], [5.0, 1955], [4.6, 1985], [4.4, 2005]]",0.19923484363610247
slab_deep,-0.1,0,1.0329526794773836,0.06834074843099346,221,6.514199167450867,,"[[7.4, 1900], [6.4, 1950], [5.0, 1960], [4.6, 1990], [4.4, 2010]]",0.19210134744100876
slab_deep,-0.1,5,1.0602413871946568,0.07369282256731713,202,6.668076080404538,,"[[7.4, 1900], [6.4, 1955], [5.0, 1965], [4.6, 1995], [4.4, 2015]]",0.1763544285711807
slab_deep,0.0,-5,0.997508509317268,0.07090932809000379,229,6.29633015147576,,"[[7.5, 1900], [6.5, 1945], [5.1, 1955], [4.7, 1985], [4.5, 2005]]",0.20595416839532044
slab_deep,0.0,0,1.0235761875148557,0.07002768063947493,219,6.460460234221763,,"[[7.5, 1900], [6.5, 1950], [5.1, 1960], [4.7, 1990], [4.5, 2010]]",0.19743626270491998
slab_deep,0.0,5,1.0640744046708304,0.09098939210149988,199,6.689256001833272,,"[[7.5, 1900], [6.5, 1955], [5.1, 1965], [4.7, 1995], [4.5, 2015]]",0.17407450510109077
slab_deep,0.1,-5,1.0150797546996608,0.07080142014101899,226,6.396704796463398,,"[[7.6, 1900], [6.6, 1945], [5.2, 1955], [4.8, 1985], [4.6, 2005]]",0.1954998882867195
slab_deep,0.1,0,1.0454170662671471,0.0771707334287204,215,6.583734873076438,,"[[7.6, 1900], [6.6, 1950], [5.2, 1960], [4.8, 1990], [4.6, 2010]]",0.1844231387820585
slab_deep,0.1,5,1.0860761528625469,0.07070171895691119,196,6.815099477758128,,"[[7.6, 1900], [6.6, 1955], [5.2, 1965], [4.8, 1995], [4.6, 2015]]",0.16314223500128752
slab_deep,0.2,-5,1.012431008832262,0.07564295991355782,224,6.380306688169974,,"[[7.7, 1900], [6.7, 1945], [5.3, 1955], [4.9, 1985], [4.7, 2005]]",0.19646700574925496
slab_deep,0.2,0,1.047276341874866,0.07696984095536857,212,6.591509044879257,,"[[7.7, 1900], [6.7, 1950], [5.3, 1960], [4.9, 1990], [4.7, 2010]]",0.18221102523841223
slab_deep,0.2,5,1.077751520919288,0.07367590699847017,195,6.767575707360922,,"[[7.7, 1900], [6.7, 1955], [5.3, 1965], [4.9, 1995], [4.7, 2015]]",0.16723033545102461
