site,M,ratio,n_obs,variant
santiago_centro,5.5,0.8454320370745383,46,mc_hi
santiago_centro,6.0,1.1057301788511131,12,mc_hi
santiago_penalolen,5.5,0.8468888538240982,44,mc_hi
santiago_penalolen,6.0,1.0399039152982819,12,mc_hi
concepcion,5.5,2.260353155215692,13,mc_hi
concepcion,6.0,2.3584321115725584,5,mc_hi
pucon,5.5,1.7433470113789538,6,mc_hi
pucon,6.0,4.1109525385183385,1,mc_hi
puerto_montt,5.5,0.9354628369957775,5,mc_hi
puerto_montt,6.0,0.5300899790234016,3,mc_hi
puerto_aysen,5.5,,0,mc_hi
puerto_aysen,6.0,,0,mc_hi
iquique,5.5,0.8719505376113135,111,raw
iquique,6.0,1.1664994129541013,24,raw
antofagasta,5.5,0.9120782933383468,46,raw
antofagasta,6.0,0.8573986744833989,14,raw
copiapo,5.5,0.8613992502456843,38,raw
copiapo,6.0,0.597893612401772,16,raw
valparaiso,5.5,0.7891831876876163,78,raw
valparaiso,6.0,1.321308216359208,14,raw
santiago_centro,5.5,0.8131377674487872,54,raw
santiago_centro,6.0,1.063325349858832,12,raw
santiago_penalolen,5.5,0.7838158083951002,51,raw
santiago_penalolen,6.0,1.0412796009158656,11,raw
concepcion,5.5,2.2721497797628474,20,raw
concepcion,6.0,4.321044969302648,4,raw
pucon,5.5,1.4324645751493355,6,raw
pucon,6.0,2.9297297862331604,1,raw
puerto_montt,5.5,0.6678626972102751,5,raw
puerto_montt,6.0,0.32245563417105627,3,raw
puerto_aysen,5.5,,0,raw
puerto_aysen,6.0,,0,raw
iquique,5.5,0.7690585750308024,76,smooth_cv
iquique,6.0,0.901996069142825,21,smooth_cv
antofagasta,5.5,0.9821401244528528,38,smooth_cv
antofagasta,6.0,1.212983251643402,10,smooth_cv
copiapo,5.5,0.9349950595050364,28,smooth_cv
copiapo,6.0,0.6381954048932046,13,smooth_cv
valparaiso,5.5,0.7988714400506696,57,smooth_cv
valparaiso,6.0,1.3616975332908374,11,smooth_cv
santiago_centro,5.5,0.8229437280933354,44,smooth_cv
santiago_centro,6.0,1.180360530358396,10,smooth_cv
santiago_penalolen,5.5,0.7911863225847355,42,smooth_cv
santiago_penalolen,6.0,1.0600690656538703,10,smooth_cv
concepcion,5.5,3.417720399489178,12,smooth_cv
concepcion,6.0,4.04187470539585,4,smooth_cv
pucon,5.5,1.151495433113405,6,smooth_cv
pucon,6.0,2.527871194171272,1,smooth_cv
puerto_montt,5.5,0.5695134336902999,5,smooth_cv
puerto_montt,6.0,0.3014625457187859,3,smooth_cv
puerto_aysen,5.5,,0,smooth_cv
puerto_aysen,6.0,,0,smooth_cv
