job,key,calc_id,sources,gmm,trunc,site_params,n_realizations
c_cr_tr40,06b2547f,221,"{""cr-ref-phi050__mobs__tgr"": ""ref"", ""cr-ref-phi050__mobs__tap"": ""ref"", ""cr-ref-phi050__mgeo__tgr"": ""ref"", ""cr-ref-phi050__mgeo__tap"": ""ref"", ""cr-ref-phi075__mobs__tgr"": ""ref"", ""cr-ref-phi075__mobs__tap"": ""ref"", ""cr-ref-phi075__mgeo__tgr"": ""ref"", ""cr-ref-phi075__mgeo__tap"": ""ref"", ""cr-ref-phi100__mobs__tgr"": ""ref"", ""cr-ref-phi100__mobs__tap"": ""ref"", ""cr-ref-phi100__mgeo__tgr"": ""ref"", ""cr-ref-phi100__mgeo__tap"": ""ref""}","{""Active Shallow Crust"": [""AbrahamsonEtAl2014"", ""BooreEtAl2014"", ""CampbellBozorgnia2014"", ""ChiouYoungs2014""]}",4.0,{},48
c_if_asp15,01bfdd73,237,"{""if-c_asp15-full__seis__tgr"": ""aspect-1.5_mmin_haz-5.5""}","{""Subduction Interface"": [""AbrahamsonGulerce2020SInter"", ""ParkerEtAl2020SInter"", ""KuehnEtAl2020SInter""]}",3.0,{},3
c_if_asp20,b68f574f,238,"{""if-c_asp20-full__seis__tgr"": ""aspect-2.0_mmin_haz-5.5""}","{""Subduction Interface"": [""AbrahamsonGulerce2020SInter"", ""ParkerEtAl2020SInter"", ""KuehnEtAl2020SInter""]}",3.0,{},3
c_if_asp30,ed72f6cd,239,"{""if-c_asp30-full__seis__tgr"": ""aspect-3.0_mmin_haz-5.5""}","{""Subduction Interface"": [""AbrahamsonGulerce2020SInter"", ""ParkerEtAl2020SInter"", ""KuehnEtAl2020SInter""]}",3.0,{},3
c_if_cls_fix,c74aa37b,251,"{""if-c_cls_fix-full__seis__tgr"": ""cat_variant-fixdep_if_mmin_haz-5.5""}","{""Subduction Interface"": [""AbrahamsonGulerce2020SInter"", ""ParkerEtAl2020SInter"", ""KuehnEtAl2020SInter""]}",3.0,{},3
c_if_cls_m5,b8adca22,241,"{""if-c_cls_m5-full__seis__tgr"": ""cat_variant-tol_m5_mmin_haz-5.5""}","{""Subduction Interface"": [""AbrahamsonGulerce2020SInter"", ""ParkerEtAl2020SInter"", ""KuehnEtAl2020SInter""]}",3.0,{},3
c_if_cls_p5,75bbb59b,242,"{""if-c_cls_p5-full__seis__tgr"": ""cat_variant-tol_p5_mmin_haz-5.5""}","{""Subduction Interface"": [""AbrahamsonGulerce2020SInter"", ""ParkerEtAl2020SInter"", ""KuehnEtAl2020SInter""]}",3.0,{},3
c_if_dc_gk74sym,4059ce0d,167,"{""if-c_dc_gk74sym-full__seis__tgr"": ""dc_method-gk74_sym_mmin_haz-5.5""}","{""Subduction Interface"": [""AbrahamsonGulerce2020SInter"", ""ParkerEtAl2020SInter"", ""KuehnEtAl2020SInter""]}",3.0,{},3
c_if_dc_gruenthal,f34210e4,168,"{""if-c_dc_gruenthal-full__seis__tgr"": ""dc_method-gruenthal_mmin_haz-5.5""}","{""Subduction Interface"": [""AbrahamsonGulerce2020SInter"", ""ParkerEtAl2020SInter"", ""KuehnEtAl2020SInter""]}",3.0,{},3
c_if_fit54,249e38b9,170,"{""if-c_fit54-full__seis__tgr"": ""mmin_fit-5.4_mmin_haz-5.5""}","{""Subduction Interface"": [""AbrahamsonGulerce2020SInter"", ""ParkerEtAl2020SInter"", ""KuehnEtAl2020SInter""]}",3.0,{},3
c_if_fit60,7c68a323,171,"{""if-c_fit60-full__seis__tgr"": ""mmin_fit-6.0_mmin_haz-5.5""}","{""Subduction Interface"": [""AbrahamsonGulerce2020SInter"", ""ParkerEtAl2020SInter"", ""KuehnEtAl2020SInter""]}",3.0,{},3
c_if_geo,29af1ae1,174,"{""if-mmin55-full__geo_mid__tgr"": ""mmin_haz-5.5""}","{""Subduction Interface"": [""AbrahamsonGulerce2020SInter"", ""ParkerEtAl2020SInter"", ""KuehnEtAl2020SInter""]}",3.0,{},3
c_if_gmm_ag,64ab0f9d,178,"{""if-mmin55-full__seis__tgr"": ""mmin_haz-5.5""}","{""Subduction Interface"": [""AbrahamsonGulerce2020SInter""]}",3.0,{},1
c_if_gmm_ku,6b05aa6e,180,"{""if-mmin55-full__seis__tgr"": ""mmin_haz-5.5""}","{""Subduction Interface"": [""KuehnEtAl2020SInter""]}",3.0,{},1
c_if_gmm_pk,716a10f3,179,"{""if-mmin55-full__seis__tgr"": ""mmin_haz-5.5""}","{""Subduction Interface"": [""ParkerEtAl2020SInter""]}",3.0,{},1
c_if_keep6298,98ada227,169,"{""if-c_keep_1962_1998-full__seis__tgr"": ""dc_keep_ids-100928776_mmin_haz-5.5""}","{""Subduction Interface"": [""AbrahamsonGulerce2020SInter"", ""ParkerEtAl2020SInter"", ""KuehnEtAl2020SInter""]}",3.0,{},3
c_if_mc_hi,6519d395,244,"{""if-c_mc_hi-full__seis__tgr"": ""vb4c2b52a26""}","{""Subduction Interface"": [""AbrahamsonGulerce2020SInter"", ""ParkerEtAl2020SInter"", ""KuehnEtAl2020SInter""]}",3.0,{},3
c_if_mc_lo,773ac676,243,"{""if-c_mc_lo-full__seis__tgr"": ""ved794b628d""}","{""Subduction Interface"": [""AbrahamsonGulerce2020SInter"", ""ParkerEtAl2020SInter"", ""KuehnEtAl2020SInter""]}",3.0,{},3
c_if_mmin65,af7dd38d,172,"{""if-ref-full__seis__tgr"": ""ref""}","{""Subduction Interface"": [""AbrahamsonGulerce2020SInter"", ""ParkerEtAl2020SInter"", ""KuehnEtAl2020SInter""]}",3.0,{},3
c_if_msr_ah,9ee492dd,177,"{""if-c_msr_ah-full__seis__tgr"": ""mmin_haz-5.5_msr-AllenHayesInterfaceBilinear""}","{""Subduction Interface"": [""AbrahamsonGulerce2020SInter"", ""ParkerEtAl2020SInter"", ""KuehnEtAl2020SInter""]}",3.0,{},3
c_if_num,34116a8a,184,"{""if-mmin55-full__seis__tgr"": ""mmin_haz-5.5""}","{""Subduction Interface"": [""AbrahamsonGulerce2020SInter"", ""ParkerEtAl2020SInter"", ""KuehnEtAl2020SInter""]}",3.0,{},3
c_if_raw,8ac06c33,234,"{""if-c_raw-full__seis__tgr"": ""dc_method-none_dc_methods-gk74none_mmin_haz-5.5""}","{""Subduction Interface"": [""AbrahamsonGulerce2020SInter"", ""ParkerEtAl2020SInter"", ""KuehnEtAl2020SInter""]}",3.0,{},3
c_if_ref,2a3085c1,162,"{""if-mmin55-full__seis__tgr"": ""mmin_haz-5.5""}","{""Subduction Interface"": [""AbrahamsonGulerce2020SInter"", ""ParkerEtAl2020SInter"", ""KuehnEtAl2020SInter""]}",3.0,{},3
c_if_seg,6039c19f,173,"{""if-mmin55-seg__seis__tgr"": ""mmin_haz-5.5""}","{""Subduction Interface"": [""AbrahamsonGulerce2020SInter"", ""ParkerEtAl2020SInter"", ""KuehnEtAl2020SInter""]}",3.0,{},3
