class,n_complete,floor,b_fit,b_err,b_used,rate_floor,rate_M4.9,mmax,kernel_med_km,model_obs_floor,model_obs_top,frac_of_total
forearc,486,4.5,1.0142964211458076,0.04643288218913791,1.0142964211458076,15.483472556846792,6.08344800122443,7.2,73.99756191023108,1.05208351255835,0.24400101250245534,0.39197323866880746
intraarc,311,4.5,0.9157832375451567,0.04415753364689684,0.9157832375451567,9.473575403324604,4.075685094774532,7.2,87.6864131969761,1.1788710894823928,,0.26260756828552073
unclassified,382,4.5,1.0142964211458076,,1.0142964211458076,13.644524851477904,5.360926441444505,7.2,80.72749733506336,0.9981744250707996,,0.3454191930456718
