site,imt,return_period,iml_total,Interface,Intraslab,Crustal,sum,split,intra_slab,slab_deep,deep_nest
antofagasta,PGA,475,1.3902837109954849,61.21689314115809,38.68917513783628,0.07464746325632966,99.9807157422507,full_ref,,,
antofagasta,PGA,2475,2.6631934009844276,63.96136325893135,36.03336085546468,0.005019353268517227,99.99974346766456,full_ref,,,
concepcion,PGA,475,1.4180990107563372,54.228504327536676,45.57261013153544,0.1836735852350016,99.98478804430712,full_ref,,,
concepcion,PGA,2475,2.666247175360423,55.84021244734442,44.14437631101675,0.012457446737915637,99.99704620509908,full_ref,,,
copiapo,PGA,475,1.0681792873583427,58.076770764616,41.256532377425266,0.6425583468493055,99.97586148889057,full_ref,,,
copiapo,PGA,2475,2.0716832448839835,59.74390191689033,40.157131700532716,0.08640434694762235,99.98743796437067,full_ref,,,
iquique,PGA,475,1.2013948297785453,36.47275736480914,61.99361863399858,1.5250884263170594,99.99146442512478,full_ref,,,
iquique,PGA,2475,2.2677983639172306,35.61412556648931,63.99295216894673,0.36288629100513176,99.96996402644116,full_ref,,,
pucon,PGA,475,0.5414244870529966,34.20703642713938,31.982711563604273,33.72627928228747,99.91602727303112,full_ref,,,
pucon,PGA,2475,0.9657210221198079,38.30430520454068,41.89597899103969,19.666748754842146,99.86703295042251,full_ref,,,
puerto_aysen,PGA,475,0.48045774866327584,4.7692413020253355,0.3798818330710304,94.84523692301552,99.99436005811188,full_ref,,,
puerto_aysen,PGA,2475,0.8679213705439908,3.652048203058084,0.42444271333171363,95.91771823505603,99.99420915144583,full_ref,,,
puerto_montt,PGA,475,0.6270522184333686,79.99903600774402,16.86321152450507,3.1196973149231653,99.98194484717226,full_ref,,,
puerto_montt,PGA,2475,1.3078607515445344,82.51811686650719,16.673092554940435,0.7894146951200642,99.98062411656768,full_ref,,,
santiago_centro,PGA,475,0.8788891880756893,40.93442251804779,57.15956477768326,1.8521370244842517,99.94612432021529,full_ref,,,
santiago_centro,PGA,2475,1.6591288906149906,40.009732080995484,59.60158019219306,0.35304448705113123,99.96435676023968,full_ref,,,
santiago_penalolen,PGA,475,0.8095567080084848,35.470484257541976,59.935630349242786,4.586312145089368,99.99242675187413,full_ref,,,
santiago_penalolen,PGA,2475,1.5141430662429765,33.72652316728037,64.06711653361332,2.1922484409113907,99.98588814180508,full_ref,,,
valparaiso,PGA,475,1.509811182452578,50.910619471110316,48.98976581598705,0.09084812164341492,99.99123340874078,full_ref,,,
valparaiso,PGA,2475,2.8195329810994223,52.39930387665107,47.59739304558595,0.0029405674510223066,99.99963748968804,full_ref,,,
antofagasta,PGA,475,1.3902974592871662,61.21563062589228,,0.07464334914384793,99.98017834153,full_classes,26.588406839464568,11.864357915865618,0.2371396111636987
antofagasta,PGA,2475,2.6632001521172204,63.96088976293333,,0.005019253506004284,99.99923508498743,full_classes,25.265339838788233,10.602534197118194,0.1654520326416873
concepcion,PGA,475,1.4181121141434003,54.227428585747894,,0.18366510168115,99.9850833133248,full_classes,33.2972266566037,12.276762969292045,0.0
concepcion,PGA,2475,2.6662544848690626,55.839748479631744,,0.01245713022340623,99.9969642876979,full_classes,32.11874621835911,12.026012459483638,0.0
copiapo,PGA,475,1.0681946858787545,58.07502492919363,,0.6425165156704103,99.97603137885925,full_classes,25.059326941142356,16.157378015984627,0.04178497686822198
copiapo,PGA,2475,2.071690336252707,59.743292939483204,,0.08640205007367585,99.98735150332567,full_classes,24.248301838628965,15.881032753354127,0.028321921785708786
iquique,PGA,475,1.201432923216584,36.47024150583897,,1.524916533176256,99.99109580424627,full_classes,30.07119025689179,31.899981726298833,0.024765782040428078
iquique,PGA,2475,2.2678192254848923,35.61314616081412,,0.3628652986451247,99.96935222308329,full_classes,32.16057948365816,31.81506468252049,0.017696597445410585
