site,imt,return_period,family,axis,row,iml_ref,iml,rel_pct
iquique,PGA,475,intraslab,rupture dip 45 / 90,dip90,1.2013948297785708,1.2238550954251222,1.8695157570048027
iquique,PGA,475,intraslab,sources from M5.5,mmin55,1.2013948297785708,1.2013948454698797,1.3060909243023389e-06
iquique,PGA,475,intraslab,GMM (single vs tree),gmm_ag,1.2013948297785708,1.1466064340664857,-4.560398825936618
iquique,PGA,475,intraslab,GMM (single vs tree),gmm_pk,1.2013948297785708,1.4404282798013555,19.896327510152577
iquique,PGA,475,intraslab,GMM (single vs tree),gmm_mv,1.2013948297785708,0.98819560264187,-17.74597508264586
iquique,PGA,475,crustal,faults vs no faults,nofaults,1.2013948297785708,1.196079885558863,-0.44239779362854614
iquique,PGA,475,crustal,buffer margin 0 / 20 km,margin0,1.2013948297785708,1.2025796755593376,0.09862251371477448
iquique,PGA,475,crustal,buffer margin 0 / 20 km,margin20,1.2013948297785708,1.2011469908850747,-0.020629262533267134
iquique,PGA,475,crustal,cap and fault Mmin 6.5,cap65,1.2013948297785708,1.2005623596651034,-0.06929196737269772
iquique,PGA,475,crustal,declustering,dc_gruenthal,1.2013948297785708,1.2014020958743814,0.0006048049842055647
iquique,PGA,475,crustal,no declustering (full catalog),raw,1.2013948297785708,1.2014975636475975,0.008551216176422294
iquique,PGA,475,crustal,classification tolerance -5 / +5 km,cls_m5,1.2013948297785708,1.2014199408286266,0.0020901579924625935
iquique,PGA,475,crustal,classification tolerance -5 / +5 km,cls_p5,1.2013948297785708,1.2013641100404364,-0.0025570060210866608
iquique,PGA,475,crustal,default-depth events to interface,cls_fix,1.2013948297785708,1.2013677570699877,-0.002253439744548391
iquique,PGA,475,crustal,background Mmax 7.5,mmax75,1.2013948297785708,1.201698662191428,0.025289971733366556
iquique,PGA,475,crustal,GMM (single vs tree),gmm_ask,1.2013948297785708,1.2010024630094258,-0.03265926899462812
iquique,PGA,475,crustal,GMM (single vs tree),gmm_bssa,1.2013948297785708,1.2005588797122222,-0.06958162675818613
iquique,PGA,475,crustal,GMM (single vs tree),gmm_cb,1.2013948297785708,1.2042886321909232,0.24087022356220622
iquique,PGA,475,crustal,GMM (single vs tree),gmm_cy,1.2013948297785708,1.199717665237473,-0.13960144488111004
iquique,PGA,475,all,truncation 2.5 / 4.0,tr25,1.2013948297785708,1.1413229564670455,-5.0001774456276955
iquique,PGA,475,all,truncation 2.5 / 4.0,tr40,1.2013948297785708,1.2387669988406282,3.1107316375704297
iquique,PGA,475,all,truncation 2.0,tr20,1.2013948297785708,1.0412329768503636,-13.331325302750518
iquique,PGA,475,all,"numerics: mesh 5 km, point-source distance 100 km",num,1.2013948297785708,1.2082366397161886,0.5694888780966911
iquique,PGA,475,all,"no declustering, all families",raw,1.2013948297785708,1.1302891850011536,-5.918590875784169
iquique,PGA,475,all,"classification tolerance -5 / +5 km, all families",cls_m5,1.2013948297785708,1.2367556594057931,2.943314616539472
iquique,PGA,475,all,"classification tolerance -5 / +5 km, all families",cls_p5,1.2013948297785708,1.165373728744872,-2.9982733520118376
iquique,PGA,475,all,"default-depth events to interface, all families",cls_fix,1.2013948297785708,1.2083166502960307,0.5761486853356645
iquique,PGA,2475,interface,Z_BOTTOM 40 / 60 km,zbot40,2.2677983639172306,2.358448541563407,3.9972767900579242
iquique,PGA,2475,interface,Z_BOTTOM 40 / 60 km,zbot60,2.2677983639172306,2.227243049245436,-1.788312193758812
