site,imt,return_period,family,axis,iml_ref,lo,hi,row_lo,row_hi,range
iquique,PGA,475,interface,Z_BOTTOM 40 / 60 km,1.2013948297785708,-1.2452999706122903,3.3110863983808914,zbot60,zbot40,4.556386368993182
iquique,PGA,475,interface,Z_TOP 10 km,1.2013948297785708,0.0,1.6307964393033947,ztop10,ztop10,1.6307964393033947
iquique,PGA,475,interface,declustering,1.2013948297785708,0.0,1.0939836886558751,dc_gruenthal,dc_gk74sym,1.0939836886558751
iquique,PGA,475,interface,no declustering (full catalog),1.2013948297785708,-5.9439049957412005,0.0,raw,raw,5.9439049957412005
iquique,PGA,475,interface,classification tolerance -5 / +5 km,1.2013948297785708,-0.16254952890486507,0.7879003655297812,cls_m5,cls_p5,0.9504498944346462
iquique,PGA,475,interface,default-depth events to interface,1.2013948297785708,-0.08429257492994502,0.0,cls_fix,cls_fix,0.08429257492994502
iquique,PGA,475,interface,"completeness table, ends of the ensemble",1.2013948297785708,-2.458388052575511,1.0620247376968317,mc_lo,mc_hi,3.5204127902723426
iquique,PGA,475,interface,keep 1962 / 1998 events,1.2013948297785708,0.0,0.4584175155552206,keep6298,keep6298,0.4584175155552206
iquique,PGA,475,interface,b: fit floor 5.4 / 6.0,1.2013948297785708,-3.4139613273767355,2.2405143053901844,fit54,fit60,5.6544756327669194
iquique,PGA,475,interface,MMIN_HAZ 6.5,1.2013948297785708,0.0,0.057237421108746744,mmin65,mmin65,0.057237421108746744
iquique,PGA,475,interface,geometry: segmented,1.2013948297785708,-6.331652488981132,0.0,seg,seg,6.331652488981132
iquique,PGA,475,interface,rate: geodetic (mid),1.2013948297785708,0.0,1.2191175584053138,geo,geo,1.2191175584053138
iquique,PGA,475,interface,MFD: tapered,1.2013948297785708,0.0,1.117197139609294,tapered,tapered,1.117197139609294
iquique,PGA,475,interface,full 16-branch tree,1.2013948297785708,0.0,4.295285736673482,tree,tree,4.295285736673482
iquique,PGA,475,interface,rupture scaling: Allen & Hayes,1.2013948297785708,-0.6121681059611528,0.0,msr_ah,msr_ah,0.6121681059611528
iquique,PGA,475,interface,rupture aspect ratio 1.5 / 2 / 3,1.2013948297785708,0.0,3.864096783753612,asp15,asp30,3.864096783753612
iquique,PGA,475,interface,GMM (single vs tree),1.2013948297785708,-4.28067094060115,7.623904798359704,gmm_ag,gmm_ku,11.904575738960855
iquique,PGA,475,intraslab,class domain cut at 50 km,1.2013948297785708,-1.5215432056424616,0.0,classmask,classmask,1.5215432056424616
iquique,PGA,475,intraslab,declustering,1.2013948297785708,0.0,2.451072855902514,dc_gk74sym,dc_gruenthal,2.451072855902514
iquique,PGA,475,intraslab,no declustering (full catalog),1.2013948297785708,-0.22562729712729546,0.0,raw,raw,0.22562729712729546
iquique,PGA,475,intraslab,classification tolerance -5 / +5 km,1.2013948297785708,-3.8191791551350995,3.0897476806452495,cls_p5,cls_m5,6.908926835780349
iquique,PGA,475,intraslab,default-depth events to interface,1.2013948297785708,0.0,0.6626612288611167,cls_fix,cls_fix,0.6626612288611167
iquique,PGA,475,intraslab,"completeness table, ends of the ensemble",1.2013948297785708,-1.9195335796355795,0.525279564172032,mc_lo,mc_hi,2.4448131438076115
iquique,PGA,475,intraslab,slab_deep b: floor 5.7 / 6.0,1.2013948297785708,-1.287899156053296,1.5801593129199043,sd_fit57,sd_fit60,2.8680584689732003
iquique,PGA,475,intraslab,intra_slab b: floor 5.5 / 5.8,1.2013948297785708,-2.339724237181051,2.0892402819825184,is_fit55,is_fit58,4.42896451916357
iquique,PGA,475,intraslab,Mmax pad 0 / 0.4,1.2013948297785708,-2.9301355121111095,2.4537076280622294,pad0,pad04,5.383843140173338
iquique,PGA,475,intraslab,"depths by slab-top regime, not thickness fraction",1.2013948297785708,0.0,0.8138697276142803,regime,regime,0.8138697276142803
iquique,PGA,475,intraslab,"previous geometry: top + 7.5 km, depth-rule band",1.2013948297785708,0.0,4.612724265181378,band_rule,band_rule,4.612724265181378
