id,time_iso,longitude,latitude,depth,mag,mag_type,lon_error,lat_error,depth_error,mag_error,strike1,dip1,rake1,strike2,dip2,rake2,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class_raw,sub_depth,class,time,mc_window,tc_years,mc_window_index
245,1920-08-03T19:57:22,-67.867,-27.475,15.0,7.0,mw,,,25.0,0.21,,,,,,,,,,,,,ISC-GEM,,backarc,,backarc,1920-08-03T19:57:22,6.8,49.998631074606436,1
622,1944-01-15T23:49:31,-68.491,-31.496,15.0,6.9,mw,,,3.3,0.3,45.0,35.0,110.0,201.0,57.0,77.0,,,,,,,ISC-GEM,,backarc,,backarc,1944-01-15T23:49:31,6.8,49.998631074606436,1
678,1949-12-17T06:53:32,-71.0,-54.0,10.0,8.0,mw,,,25.0,0.25,,,,,,,,,,,,,ISC-GEM,,backarc,,backarc,1949-12-17T06:53:32,6.8,49.998631074606436,1
682,1950-01-30T00:56:35,-71.073,-53.472,15.0,6.8,mw,,,25.0,0.2,,,,,,,,,,,,,ISC-GEM,,backarc,,backarc,1950-01-30T00:56:35,5.9,25.998631074606433,2
716,1952-06-11T00:31:44,-68.483,-31.672,25.0,6.8,mw,,,7.8,0.3,40.0,75.0,30.0,301.0,61.0,163.0,,,,,,,ISC-GEM,,backarc,,backarc,1952-06-11T00:31:44,5.9,25.998631074606433,2
805,1957-10-24T20:07:21,-68.0,-28.9,37.0,6.1,mw,,,,0.17,,,,,,,,,,,,,CERESIS-GEM,,backarc,,backarc,1957-10-24T20:07:21,5.9,25.998631074606433,2
828,1958-09-01T14:30:46,-65.0,-18.0,33.0,6.1,mw,,,,0.29,,,,,,,,,,,,,CERESIS-GEM,,backarc,,backarc,1958-09-01T14:30:46,5.9,25.998631074606433,2
848,1959-04-08T11:44:30,-72.666,-50.612,15.0,6.1,mw,,,25.0,0.2,,,,,,,,,,,,,ISC-GEM,,backarc,,backarc,1959-04-08T11:44:30,5.9,25.998631074606433,2
1017,1962-05-25T21:28:28,-65.2,-24.3,69.0,6.2,mw,,,,0.29,,,,,,,,,,,,,CERESIS-GEM,,backarc,,backarc,1962-05-25T21:28:28,5.9,25.998631074606433,2
3670,1972-09-26T21:05:46,-68.208,-30.957,15.0,6.0,mw,,,3.2,0.3,1.0,39.0,81.0,192.0,51.0,97.0,,,,,,,ISC-GEM,,backarc,,backarc,1972-09-26T21:05:46,5.9,25.998631074606433,2
