lon,lat,rate_MgeMcmin_per_year
-71.073,-17.226,0.05490584268494926
-70.973,-17.226,0.05823462111657007
-70.873,-17.226,0.06145227411517034
-70.773,-17.226,0.06424608522889522
-70.673,-17.226,0.06631224292243497
-70.573,-17.226,0.06745472857148353
-70.473,-17.226,0.06788181354890496
-70.373,-17.226,0.06792201018360335
-70.273,-17.226,0.06748822294149602
-70.173,-17.226,0.0664883426815087
-70.073,-17.226,0.06550858559665895
-69.973,-17.226,0.06488243821753287
-69.873,-17.226,0.06403776853641333
-69.773,-17.226,0.06276531139538752
-69.673,-17.226,0.0613662725633779
-69.573,-17.226,0.05997615242086203
-69.473,-17.226,0.058270283189622255
-69.373,-17.226,0.055490933407773044
-69.273,-17.226,0.051260659731322634
-69.173,-17.226,0.04543061057954227
-69.073,-17.226,0.03861812654309215
-68.973,-17.226,0.032254417288247586
-68.873,-17.226,0.026875242972715638
-68.773,-17.226,0.022557330364083215
-68.673,-17.226,0.019225707393430515
-68.573,-17.226,0.01669456769253789
-68.473,-17.226,0.01467485928522379
-68.373,-17.226,0.01307492765648589
-68.273,-17.226,0.011829065148063053
-68.173,-17.226,0.010914817691720058
-68.073,-17.226,0.010161510808006263
-67.973,-17.226,0.009641054701302268
-67.873,-17.226,0.009193611908693201
-67.773,-17.226,0.00890209091533964
-67.673,-17.226,0.008655273610037135
-71.273,-17.326,0.051779820428482386
-71.173,-17.326,0.05494068577910507
-71.073,-17.326,0.05854971328854343
-70.973,-17.326,0.06218944317759789
-70.873,-17.326,0.06551016560430188
-70.773,-17.326,0.06840529214639723
-70.673,-17.326,0.07081485792598168
-70.573,-17.326,0.0726128734219954
-70.473,-17.326,0.0737810789708318
-70.373,-17.326,0.07450540647374208
-70.273,-17.326,0.07458529030222659
-70.173,-17.326,0.07397629694248653
-70.073,-17.326,0.07373311262242535
-69.973,-17.326,0.07436030160436245
-69.873,-17.326,0.07474876458306046
-69.773,-17.326,0.07439784159943237
-69.673,-17.326,0.07382381291730919
-69.573,-17.326,0.07291063373220595
-69.473,-17.326,0.07112692027411352
-69.373,-17.326,0.06781672617832585
-69.273,-17.326,0.06237967087197852
-69.173,-17.326,0.054530907058709444
-69.073,-17.326,0.04546359769311036
-68.973,-17.326,0.03721494425943057
-68.873,-17.326,0.030475754805948906
-68.773,-17.326,0.025212160457613642
-68.673,-17.326,0.021223226122761504
-68.573,-17.326,0.01822551045507502
-68.473,-17.326,0.0159377790328391
-68.373,-17.326,0.014140524877289624
-68.273,-17.326,0.01277758368702346
-68.173,-17.326,0.011796696666035845
-68.073,-17.326,0.011003371652028743
-67.973,-17.326,0.010426837443794681
-67.873,-17.326,0.009983681070607396
-67.773,-17.326,0.009705710760143002
-67.673,-17.326,0.009473853804763737
-67.573,-17.326,0.009333838858627548
-71.373,-17.426,0.050229373738261106
-71.273,-17.426,0.05306575375924503
-71.173,-17.426,0.056502146254018296
-71.073,-17.426,0.06021889445553219
-70.973,-17.426,0.0637309271437472
-70.873,-17.426,0.06676370960758762
-70.773,-17.426,0.06943073722045616
-70.673,-17.426,0.07196908697533293
-70.573,-17.426,0.07438710268764044
-70.473,-17.426,0.07640355738627644
-70.373,-17.426,0.07775869763217245
-70.273,-17.426,0.0782201031294117
-70.173,-17.426,0.07811262572779269
-70.073,-17.426,0.07884425183372905
-69.973,-17.426,0.0809849490835988
-69.873,-17.426,0.08311092133064185
-69.773,-17.426,0.08464654073610205
-69.673,-17.426,0.08619771867172862
-69.573,-17.426,0.08701866418272611
-69.473,-17.426,0.0856204704261539
-69.373,-17.426,0.08163382200431116
-69.273,-17.426,0.07418768914236522
-69.173,-17.426,0.06365363488739874
-69.073,-17.426,0.05215897474546606
-68.973,-17.426,0.04208964100395581
-68.873,-17.426,0.03402602953086228
-68.773,-17.426,0.027818024942099475
-68.673,-17.426,0.023166821967237853
-68.573,-17.426,0.01974547246399004
-68.473,-17.426,0.017182586352524915
-68.373,-17.426,0.015207792410009984
-68.273,-17.426,0.013780595742801618
-68.173,-17.426,0.012695643617006654
-68.073,-17.426,0.011870739169163274
-67.973,-17.426,0.011286083586031415
-67.873,-17.426,0.010838017377724218
-67.773,-17.426,0.010571441140493444
-67.673,-17.426,0.010376902570165287
-67.573,-17.426,0.010288899239918093
-71.573,-17.526,0.04601623312304598
-71.473,-17.526,0.047700026287304055
-71.373,-17.526,0.04999160688858575
-71.273,-17.526,0.05286270228235584
-71.173,-17.526,0.05618599585002697
-71.073,-17.526,0.05963407019037762
-70.973,-17.526,0.06280217585669319
-70.873,-17.526,0.06555997105210357
-70.773,-17.526,0.06816972692336239
-70.673,-17.526,0.07101267224533792
-70.573,-17.526,0.07408043146419156
-70.473,-17.526,0.07683520427346652
-70.373,-17.526,0.07849267060919618
