longitude,latitude,mag,tc_years,mc_window,weight
-70.0,-20.0,6.8,49.99863107460644,6.8,1.2619492392475657
-70.0,-27.0,6.8,49.99863107460644,6.8,1.2619492392475657
-70.75,-34.17,6.8,49.99863107460644,6.8,1.2619492392475657
-68.5,-18.5,7.5,49.99863107460644,6.8,1.2619492392475657
-69.642,-22.762,6.8,49.99863107460644,6.8,1.2619492392475657
-68.77,-19.87,7.2,49.99863107460644,6.8,1.2619492392475657
-68.051,-22.556,6.8,49.99863107460644,6.8,1.2619492392475657
-69.396,-32.526,7.2,49.99863107460644,6.8,1.2619492392475657
-69.0,-23.0,7.5,49.99863107460644,6.8,1.2619492392475657
-66.428,-23.647,7.0,49.99863107460644,6.8,1.2619492392475657
-68.6,-22.0,6.9,49.99863107460644,6.8,1.2619492392475657
-72.5,-40.0,7.0,49.99863107460644,6.8,1.2619492392475657
-72.213,-36.296,8.0,49.99863107460644,6.8,1.2619492392475657
-70.4,-17.8,6.8,49.99863107460644,6.8,1.2619492392475657
-66.588,-23.121,7.2,49.99863107460644,6.8,1.2619492392475657
-70.238,-33.037,6.8,49.99863107460644,6.8,1.2619492392475657
-68.967,-19.671,7.2,49.99863107460644,6.8,1.2619492392475657
-68.856,-20.733,6.9,49.99863107460644,6.8,1.2619492392475657
-70.418,-33.757,7.0,49.99863107460644,6.8,1.2619492392475657
-72.713,-37.634,7.0,49.99863107460644,6.8,1.2619492392475657
-68.408,-20.581,7.0,49.99863107460644,6.8,1.2619492392475657
-68.7,-22.1,6.2,25.99863107460644,6.0,0.3846356360572872
-67.912,-23.977,8.0,25.99863107460644,6.0,0.3846356360572872
-71.0,-29.5,6.2,25.99863107460644,6.0,0.3846356360572872
-66.4,-23.3,6.8,25.99863107460644,6.0,0.3846356360572872
-69.86,-21.462,6.1,25.99863107460644,6.0,0.3846356360572872
-71.5,-17.0,6.2,25.99863107460644,6.0,0.3846356360572872
-70.5,-18.8,6.5,25.99863107460644,6.0,0.3846356360572872
-68.0,-21.75,6.1,25.99863107460644,6.0,0.3846356360572872
-65.814,-22.216,7.2,25.99863107460644,6.0,0.3846356360572872
-71.0,-17.4,6.0,25.99863107460644,6.0,0.3846356360572872
-66.515,-19.61,6.4,25.99863107460644,6.0,0.3846356360572872
-68.692,-22.429,7.4,25.99863107460644,6.0,0.3846356360572872
-67.5,-23.0,6.2,25.99863107460644,6.0,0.3846356360572872
-68.229,-23.194,6.6,25.99863107460644,6.0,0.3846356360572872
-72.955,-41.233,6.3,25.99863107460644,6.0,0.3846356360572872
-66.184,-22.869,6.6,25.99863107460644,6.0,0.3846356360572872
-65.186,-30.737,6.9,25.99863107460644,6.0,0.3846356360572872
-70.34,-37.612,6.5,25.99863107460644,6.0,0.3846356360572872
-70.22,-34.664,6.8,25.99863107460644,6.0,0.3846356360572872
-69.0,-19.0,6.2,25.99863107460644,6.0,0.3846356360572872
-69.0,-20.0,6.8,25.99863107460644,6.0,0.3846356360572872
-70.036,-25.552,6.8,25.99863107460644,6.0,0.3846356360572872
-67.15,-28.12,6.1,25.99863107460644,6.0,0.3846356360572872
-66.713,-20.948,7.7,25.99863107460644,6.0,0.3846356360572872
-68.415,-21.269,6.0,25.99863107460644,6.0,0.3846356360572872
-66.894,-24.248,6.4,25.99863107460644,6.0,0.3846356360572872
-65.32,-30.82,6.1,25.99863107460644,6.0,0.3846356360572872
-69.574,-21.214,6.0,25.99863107460644,6.0,0.3846356360572872
-71.094,-30.728,6.4,25.99863107460644,6.0,0.3846356360572872
