geom,seg,m0_catalog,m0_full_coupling,chi_effective,chi_assumed,ratio_cat_geo,mmax,mmax_thingbaijam
segmented,seg1_south,1.5898508514880874e+20,2.8731502800000002e+20,0.5533476137865254,0.7999999999999999,0.6916845172331568,9.5,8.908001213992026
segmented,seg2,1.2245361294126653e+20,1.78288902e+20,0.6868268948185374,0.8,0.8585336185231718,9.1,8.689630263543748
segmented,seg3,4.675159861182398e+19,1.91162862e+20,0.2445642324178217,0.7999999999999999,0.30570529052227713,8.5,8.721536705677108
segmented,seg4_north,5.919740495501875e+19,2.91969612e+20,0.20275193897582308,0.8,0.25343992371977886,8.8,8.915355597958536
non_segmented,seg0_full,7.04999561496201e+20,9.487364039999999e+20,0.7430931906099821,0.8000000000000002,0.9288664882624775,9.5,9.454668371266578
