id,time_iso,longitude,latitude,depth,mag,mag_type,lon_error,lat_error,depth_error,mag_error,strike1,dip1,rake1,strike2,dip2,rake2,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class_raw,sub_depth,class
2878,1969/11/13,-71.794,-27.837,21.4,6,mw,,,3.9,0.3,295,39,-19,40,78,-128,,,,,,,ISC-GEM,,intra_slab,10.8235931396,intra_slab
3032,1970/06/19,-70.276,-22.261,60,6.5,mw,,,5,0.3,10,85,-85,145,7,-135,,,,,,,ISC-GEM,,intra_slab,32.2343101501,intra_slab
3085,1970/09/14,-72.294,-34.023,20,5.7,mw,,,10.3,0.3,339,21,85,165,69,92,,,,,,,ISC-GEM,,slab_interface,19.6523571014,slab_interface
3099,1970/09/19,-71.908,-33.516,25,5.7,mw,,,9.2,0.3,329,23,61,180,70,102,,,,,,,ISC-GEM,,slab_interface,26.3321323395,slab_interface
3150,1970/11/28,-69.797,-21.092,44.9,5.9,mw,,,4.9,0.3,340,58,105,133,35,68,,,,,,,ISC-GEM,,slab_deep,53.3933486938,slab_deep
3155,1970/12/04,-69.988,-23.222,39.2,6.5,mw,,,5.2,0.2,2,16,109,162,75,85,,,,,,,ISC-GEM,,slab_interface,44.6977157593,slab_interface
3201,1971/02/21,-66.75,-23.47,214.9,6.9,mw,0.1,0.07,3,,167,33,-83,338,57,-95,-1.87,-0.59,2.46,0.39,-0.94,-1.1,GCMT,,slab_deep,168.562026978,slab_deep
3289,1971/07/09,-71.076,-32.601,60.3,7.5,mw,,,5,0.3,180,66,87,7,24,97,,,,,,,ISC-GEM,,slab_deep,55.3686943054,slab_deep
3449,1971/12/08,-70.371,-22.805,30,6.1,mw,,,9.4,0.2,344,14,90,164,76,90,,,,,,,ISC-GEM,,slab_interface,31.6086406708,slab_interface
3670,1972/09/26,-68.208,-30.957,15,6,mw,,,3.2,0.3,1,39,81,192,51,97,,,,,,,ISC-GEM,,backarc,,unclassified
4189,1973/11/03,-67.613,-25.974,17.5,6,mw,,,25,0.3,31,52,148,142,65,43,,,,,,,ISC-GEM,,intraarc_shallow,,intraarc
4436,1974/08/18,-73.43,-38.45,36,7,mw,,,,,354,12,90,174,78,90,,,,,,,CSN-improved,,slab_interface,32.2648239136,slab_interface
4672,1975/03/25,-66.383,-27.88,164,5.9,mw,,,,,178,52,-62,317,46,-121,-1.94,-0.21,2.15,0.48,0.44,-1.16,ISC,,slab_deep,145.106292725,slab_deep
4671,1975/03/25,-66.57,-27.96,172,6.2,mw,0.03,0.02,1.1,,317,46,-121,178,52,-62,-1.94,-0.21,2.15,0.48,0.44,-1.16,GCMT,,slab_deep,137.790390015,slab_deep
4704,1975/05/10,-72.912,-38.152,30,7.8,mw,,,5.8,0.2,13,18,129,153,76,78,,,,,,,ISC-GEM,,forearc,47.1915588379,forearc
4814,1975/08/10,-66.589,-22.648,166,6.6,mw,,,,,154,22,-88,332,68,-91,-4.8,1.01,3.79,2.38,-4.47,-1.89,USGS,,forearc,186.801528931,forearc
4815,1975/08/10,-66.85,-22.95,225.5,6.5,mw,0.02,0.02,1.3,,154,22,-88,332,68,-91,-4.8,1.01,3.79,2.38,-4.47,-1.89,GCMT,,slab_deep,166.628417969,slab_deep
4893,1975/12/29,-68.679,-56.885,15,6.5,mw,,,25,0.3,167,75,90,347,15,90,,,,,,,ISC-GEM,,backarc,,unclassified
4931,1976/02/28,-74.727,-39.999,9,6.4,mw,,,,,13,45,-85,187,45,-95,-8e+17,-2.3e+17,1.03e+18,-3e+16,1e+16,2.3e+17,USGS,,forearc,10.3211832047,forearc
4932,1976/02/28,-74.938,-39.979,15,5.9,mw,,,4.8,0.1,187,45,-95,13,45,-85,-8e+17,-2.3e+17,1.03e+18,-3e+16,1e+16,2.3e+17,ISC-GEM,,intra_slab,8.21665859222,intra_slab
5078,1976/11/30,-68.76,-20.443,78,6.7,mw,,,,,181,27,-73,342,64,-99,-1.79e+20,-3.5e+19,2.14e+20,5.5e+19,-1.42e+20,-4.4e+19,ISC,,intraarc_deep,,intraarc
5077,1976/11/30,-68.51,-20.54,133.7,7.2,mw,0.04,0.03,3,,181,27,-73,342,64,-99,-1.79e+20,-3.5e+19,2.14e+20,5.5e+19,-1.42e+20,-4.4e+19,GCMT,,slab_deep,102.284172058,slab_deep
