class,n_complete,floor,b_fit,b_err,b_used,rate_floor,rate_M4.9,mmax,n_pattern,kernel,n_neighbors,max_dist_km,kernel_med_km,model_obs_floor,model_obs_top,frac_of_total
intra_slab,159,5.6,0.9384215556689721,0.07642816144942001,0.9384215556689721,2.9690921996865813,13.47468970322932,7.9,869,power,25,500.0,56.64854653068616,0.9898472305998447,1.7414466694891868,0.300967989547174
slab_deep,219,5.8,1.0235761875148557,0.06562295124082752,1.0235761875148557,3.339783745013959,27.857164925748272,8.2,4073,power,25,500.0,32.13384417923803,1.0004871007362834,0.7498662578408807,0.6222120959250873
deep_nest,144,5.0,1.0235761875148557,,1.0235761875148557,2.7171565841814354,3.43931762592855,7.4,270,power,10,500.0,20.0,0.9965052416600625,0.39429946586644304,0.07681991452773855
