lon,lat,vs30
-71.710491824,-33.942479032,502.72191763425417
-71.710491824,-33.950479032,469.30917519466067
-71.710491824,-33.958479032,436.91657539264423
-71.710491824,-33.966479032,458.093335409868
-71.702491824,-33.934479032,432.27219885266294
-71.702491824,-33.942479032,473.24622584869394
-71.702491824,-33.950479032,556.9199584000481
-71.702491824,-33.958479032,528.2434141613146
-71.702491824,-33.966479032,457.42850913731814
-71.702491824,-33.974479032,477.3814289367603
-71.694491824,-33.926479032,360.2222243031001
-71.694491824,-33.934479032,396.8639827721976
-71.694491824,-33.942479032,499.3973947545977
-71.694491824,-33.950479032,519.1039649811114
-71.694491824,-33.958479032,526.2428105357485
-71.694491824,-33.966479032,473.6762014988389
-71.694491824,-33.974479032,447.806072443902
-71.686491824,-33.926479032,352.40012903023944
-71.686491824,-33.934479032,425.72656608804374
-71.686491824,-33.942479032,457.0560785974893
-71.686491824,-33.950479032,359.64642768624844
-71.686491824,-33.958479032,447.67899405209516
-71.686491824,-33.966479032,475.7932260995827
-71.686491824,-33.974479032,431.84949300496083
-71.678491824,-33.918479032,350.5257770285077
-71.678491824,-33.926479032,396.90810785529993
-71.678491824,-33.934479032,446.6993510046684
-71.678491824,-33.942479032,382.0954732603036
-71.678491824,-33.950479032,300.83304365516784
-71.678491824,-33.958479032,385.6915041159569
-71.678491824,-33.966479032,474.42647789664477
-71.678491824,-33.974479032,434.59382939513813
-71.670491824,-33.918479032,397.2781122326045
-71.670491824,-33.926479032,448.0564477522631
-71.670491824,-33.934479032,426.04810921219905
-71.670491824,-33.942479032,368.34708412209477
-71.670491824,-33.950479032,351.3968840128342
-71.670491824,-33.958479032,365.1388793042563
-71.670491824,-33.966479032,443.35554998207886
-71.670491824,-33.974479032,427.21094971357263
-71.670491824,-33.982479032,355.890432360075
-71.670491824,-33.990479032,415.5638773583121
-71.670491824,-33.998479032,480.89285721313587
-71.662491824,-33.910479032,438.81244385049575
-71.662491824,-33.918479032,404.5315019844305
-71.662491824,-33.926479032,401.8977986161092
-71.662491824,-33.934479032,389.81278049752063
-71.662491824,-33.942479032,369.7672623492915
-71.662491824,-33.950479032,358.8802896200086
-71.662491824,-33.958479032,328.612724423181
-71.662491824,-33.966479032,400.26750533932403
-71.662491824,-33.974479032,424.9158713955171
-71.662491824,-33.982479032,421.2691258357191
-71.662491824,-33.990479032,390.0715328451821
-71.662491824,-33.998479032,492.22778710862167
-71.654491824,-33.910479032,430.3607824876276
-71.654491824,-33.918479032,420.72940748961145
-71.654491824,-33.926479032,367.5843826597051
-71.654491824,-33.934479032,350.10497755987444
-71.654491824,-33.942479032,322.6384582945768
-71.654491824,-33.950479032,273.61687814534747
-71.654491824,-33.958479032,290.2651457844322
-71.654491824,-33.966479032,367.08291818856435
-71.654491824,-33.974479032,414.7860496390799
-71.654491824,-33.982479032,465.4044789562239
-71.654491824,-33.990479032,420.1678421471993
-71.654491824,-33.998479032,477.03782767718565
-71.646491824,-33.902479032,400.6984404337383
-71.646491824,-33.910479032,401.67454419286634
-71.646491824,-33.918479032,418.03943902744714
-71.646491824,-33.926479032,398.3838714933679
-71.646491824,-33.934479032,342.16754036665
-71.646491824,-33.942479032,270.8096180856688
-71.646491824,-33.950479032,235.93201040838932
-71.646491824,-33.958479032,302.6314519052388
-71.646491824,-33.966479032,333.821086073335
-71.646491824,-33.974479032,375.9131702376835
-71.646491824,-33.982479032,441.3590977836565
-71.646491824,-33.990479032,481.26280902758475
-71.646491824,-33.998479032,425.5661712350709
-71.638491824,-33.902479032,426.4908235443591
-71.638491824,-33.910479032,399.8569757952571
-71.638491824,-33.918479032,392.38877430284003
-71.638491824,-33.926479032,414.9003958312656
-71.638491824,-33.934479032,362.76974398808164
-71.638491824,-33.942479032,274.4984386851084
-71.638491824,-33.950479032,308.06022566170157
-71.638491824,-33.958479032,325.8572522701507
-71.638491824,-33.966479032,331.2099840832589
