X,Y,ID,COMPAÑIA_,FIL_POLIZA,POLIZA_ID,pol_item,pol_item_e,POLIZA_NRO,POLIZA_ITE,CONTRATANT,CONTRATA_1,PLAN_CODIG,COM_OFICIN,MONEDA_ORI,POL_MONTO_,FCH_EMISIO,FCH_INI_VI,FCH_FIN_VI,VENTA_AÑO,NOMBRE_ASE,calle_nro,depto_bloc,villa,cod_comuna,nombre_com,cod_provin,nombre_pro,cod_region,nombre_reg,MATERIALES,DESTINO,AÑO CONST,UBICACIÓN,Longitud,Latitud,Hazard1,Hazard2,Hazard3,Hazard4,Hazard5,Hazard6,Hazard7
-73.0433578491211,-36.8205680847168,1256466,Renta Nacional Generales,1,1470283-1-0,1470283-1,1470283-1-0,1470283,1,65125954,EDIFICIO NEOMAIPU,R100,CONCEPCION,"U,F,",130000,11/8/2024,10/29/2024,10/29/2025,2024,EDIFICIO NEOMAIPU,"MAIPU NRO, 1339",,,176,CONCEPCION,29,CONCEPCION,8,REGION DEL BIO-BIO,"{""HORMIGON ARMADO""}","{""BODEGA Y ALMACENAJE"",ESTACIONAMIENTO,HABITACION}",2016,{URBANA},-73.043357849121094,-36.820568084716797,0.467584043741226,0.467584043741226,0.467584043741226,0.467584043741226,0.467584043741226,0.467584043741226,0.467584043741226
-70.702083,-34.174125,1129944,Renta Nacional Generales,1,1403166-1-0,1403166-1,1403166-1-0,1403166,1,65110624,COOPROPIETARIOS ALTO RANCAGUA III,R100,CONCEPCION,"U,F,",30000,3/18/2024,3/26/2024,3/26/2025,2024,COOPROPIETARIOS ALTO RANCAGUA III,AVENIDA SAN JOAQUIN 0320,MACHALI,,81,RANCAGUA,20,CACHAPOAL,6,"REGION DEL LIB,GRAL,BDO,O'HIGGINS","{""HORMIGON ARMADO""}","{""BODEGA Y ALMACENAJE"",ESTACIONAMIENTO,HABITACION}",2016,{URBANA},-70.702083000000002,-34.174124999999997,0.491031408309937,0.491031408309937,0.491031408309937,0.491031408309937,0.491031408309937,0.491031408309937,0.491031408309937
-70.742829,-33.753872,1110416,Renta Nacional Generales,1,1396242-1-0,1396242-1,1396242-1-0,1396242,1,65123977,COMUNIDAD BARRIO CERRO ESCORIAL,R100,PROVIDENCIA,"U,F,",6000,2/20/2024,3/14/2024,3/14/2025,2024,COMUNIDAD BARRIO CERRO ESCORIAL,CALLE JORGE VALDES PEREZ,"3139 KM,37",RUTA 5 SUR,324,BUIN,49,MAIPO,13,REGION METROPOLITANA DE SANTIAGO,{ALBANILERIA},{HABITACION},2016,{URBANA},-70.742829000000000,-33.753872000000001,0.491062730550766,0.491062730550766,0.491062730550766,0.491062730550766,0.491062730550766,0.491062730550766,0.491062730550766
-70.6595687866211,-33.497932434082,1012103,Renta Nacional Generales,1,1350560-1-0,1350560-1,1350560-1-0,1350560,1,65114007,COMUNIDAD EDIFICIO INICIO,R100,PROVIDENCIA,"U,F,",62100,8/25/2023,9/1/2023,9/1/2024,2023,COMUNIDAD EDIFICIO INICIO,"SAN NICOLAS NRO,1372",,,303,SAN MIGUEL,46,SANTIAGO,13,REGION METROPOLITANA DE SANTIAGO,"{""HORMIGON ARMADO""}","{""BODEGA Y ALMACENAJE"",ESTACIONAMIENTO,HABITACION}",2016,{URBANA},-70.659568786621094,-33.497932434082031,0.485689759254456,0.485689759254456,0.485689759254456,0.485689759254456,0.485689759254456,0.485689759254456,0.485689759254456
-70.6595687866211,-33.497932434082,1225484,Renta Nacional Generales,1,1451532-1-0,1451532-1,1451532-1-0,1451532,1,65114007,COMUNIDAD EDIFICIO INICIO,R100,PROVIDENCIA,"U,F,",62100,8/29/2024,9/1/2024,9/1/2025,2024,COMUNIDAD EDIFICIO INICIO,"SAN NICOLAS NRO,1372",,,303,SAN MIGUEL,46,SANTIAGO,13,REGION METROPOLITANA DE SANTIAGO,"{""HORMIGON ARMADO""}","{""BODEGA Y ALMACENAJE"",ESTACIONAMIENTO,HABITACION}",2016,{URBANA},-70.659568786621094,-33.497932434082031,0.485689759254456,0.485689759254456,0.485689759254456,0.485689759254456,0.485689759254456,0.485689759254456,0.485689759254456
-70.759796,-33.482585,1193684,Renta Nacional Generales,1,1434482-1-0,1434482-1,1434482-1-0,1434482,1,65121612,CONDOMINIO LOS ALERCES DE MAIPU,R100,PROVIDENCIA,"U,F,",50000,6/27/2024,6/29/2024,6/29/2025,2024,CONDOMINIO LOS ALERCES DE MAIPU,"CALLE TIARE NRO,1195",,,310,MAIPU,46,SANTIAGO,13,REGION METROPOLITANA DE SANTIAGO,{ALBANILERIA},{HABITACION},2016,{URBANA},-70.759795999999994,-33.482585000000000,0.490639150142670,0.490639150142670,0.490639150142670,0.490639150142670,0.490639150142670,0.490639150142670,0.490639150142670
-70.655447,-33.482311,1137176,Renta Nacional Generales,1,1407359-1-0,1407359-1,1407359-1-0,1407359,1,65092538,EDIFICIO LOS MARQUES DOS,R100,APOQUINDO,"U,F,",140171,3/28/2024,4/1/2024,4/1/2025,2024,EDIFICIO LOS MARQUES DOS,"RAMON BARROS LUCO NRO, 3156",,,303,SAN MIGUEL,46,SANTIAGO,13,REGION METROPOLITANA DE SANTIAGO,"{""HORMIGON ARMADO""}","{""BODEGA Y ALMACENAJE"",ESTACIONAMIENTO,HABITACION}",2016,{URBANA},-70.655446999999995,-33.482311000000003,0.485689759254456,0.485689759254456,0.485689759254456,0.485689759254456,0.485689759254456,0.485689759254456,0.485689759254456
-70.6302441,-33.458872,1079204,Renta Nacional Generales,1,1381228-1-0,1381228-1,1381228-1-0,1381228,1,65125727,EDIFICIO NUEVO PORVENIR,R100,SANTIAGO CENTRO,"U,F,",230000,12/27/2023,12/16/2023,12/16/2024,2023,EDIFICIO NUEVO PORVENIR,SANTA ELENA 998,,,285,SANTIAGO,46,SANTIAGO,13,REGION METROPOLITANA DE SANTIAGO,"{""HORMIGON ARMADO""}","{""BODEGA Y ALMACENAJE"",ESTACIONAMIENTO,HABITACION}",2016,{URBANA},-70.630244099999999,-33.458872000000000,0.485689759254456,0.485689759254456,0.485689759254456,0.485689759254456,0.485689759254456,0.485689759254456,0.485689759254456
-70.588872,-33.456251,1177343,Renta Nacional Generales,1,1426027-1-0,1426027-1,1426027-1-0,1426027,1,53325792,EDIFICIO NITIUM,R100,PROVIDENCIA,"U,F,",100000,5/28/2024,5/17/2024,5/17/2025,2024,EDIFICIO NITIUM,"LOS JARDINES NRO,65",,,294,NUNOA,46,SANTIAGO,13,REGION METROPOLITANA DE SANTIAGO,"{""HORMIGON ARMADO""}","{""BODEGA Y ALMACENAJE"",ESTACIONAMIENTO,HABITACION}",2016,{URBANA},-70.588871999999995,-33.456251000000002,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578
-70.5898132324219,-33.4550971984863,1119005,Renta Nacional Generales,1,1400197-1-0,1400197-1,1400197-1-0,1400197,1,65092364,COMUNIDAD EDIFICIO PEDRO TORRES CUATRO,R100,LA FLORIDA,"U,F,",100000,3/7/2024,3/27/2024,3/27/2025,2024,COMUNIDAD EDIFICIO PEDRO TORRES CUATRO,PEDRO TORRES 4,,,294,NUNOA,46,SANTIAGO,13,REGION METROPOLITANA DE SANTIAGO,"{""HORMIGON ARMADO""}","{""BODEGA Y ALMACENAJE"",ESTACIONAMIENTO,HABITACION}",2016,{URBANA},-70.589813232421875,-33.455097198486328,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578
-70.691576,-33.454964,1074598,Renta Nacional Generales,1,1378796-1-0,1378796-1,1378796-1-0,1378796,1,65127299,CENTRO ALAMEDA II,R100,APOQUINDO,"U,F,",210000,12/20/2023,12/7/2023,12/7/2024,2023,CENTRO ALAMEDA II,TORO MAZZOTE 64,,,308,ESTACION CENTRAL,46,SANTIAGO,13,REGION METROPOLITANA DE SANTIAGO,"{""HORMIGON ARMADO""}","{""BODEGA Y ALMACENAJE"",ESTACIONAMIENTO,HABITACION}",2016,{URBANA},-70.691575999999998,-33.454963999999997,0.491609901189804,0.491609901189804,0.491609901189804,0.491609901189804,0.491609901189804,0.491609901189804,0.491609901189804
-70.610338,-33.454058,1063779,Renta Nacional Generales,1,1373182-1-0,1373182-1,1373182-1-0,1373182,1,53324272,,R100,APOQUINDO,"U,F,",395000,11/27/2023,12/1/2023,12/1/2024,2023,EDIFICIO NUNOA CAPITAL,"AVENIDA IRARRAZAVAL NRO,1989",,,294,NUNOA,46,SANTIAGO,13,REGION METROPOLITANA DE SANTIAGO,"{""HORMIGON ARMADO""}","{""BODEGA Y ALMACENAJE"",COMERCIO,ESTACIONAMIENTO,HABITACION,OFICINA}",2016,{URBANA},-70.610337999999999,-33.454058000000003,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578
-70.6341020104,-33.4527019057,1055430,Renta Nacional Generales,1,1369758-1-0,1369758-1,1369758-1-0,1369758,1,65123677,COMUNIDAD EDIFICIO PORTUGAL 810,R100,SANTIAGO CENTRO,"U,F,",300000,11/10/2023,11/11/2023,11/11/2024,2023,COMUNIDAD EDIFICIO PORTUGAL 810,AV PORTUGAL 810,,,285,SANTIAGO,46,SANTIAGO,13,REGION METROPOLITANA DE SANTIAGO,"{""HORMIGON ARMADO""}","{""BODEGA Y ALMACENAJE"",ESTACIONAMIENTO,HABITACION}",2016,{URBANA},-70.634102010399999,-33.452701905700003,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162
-70.6478943546,-33.4524321627,1182417,Renta Nacional Generales,1,1428475-1-0,1428475-1,1428475-1-0,1428475,1,53324198,COMUNIDAD EDIFICIO CONCEPTO MOVE,R100,LA FLORIDA,"U,F,",108107,6/5/2024,6/4/2024,6/4/2025,2024,COMUNIDAD EDIFICIO CONCEPTO MOVE,SERRANO 611 CUENTA C/2 TORRES,SEGUN NOMINA GLOSA,,285,SANTIAGO,46,SANTIAGO,13,REGION METROPOLITANA DE SANTIAGO,"{""HORMIGON ARMADO""}",{HABITACION},2016,{URBANA},-70.647894354599998,-33.452432162699999,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162
-70.624849,-33.451502,1023743,Renta Nacional Generales,1,1355757-1-0,1355757-1,1355757-1-0,1355757,1,53325446,COMUNIDAD EDIFICIO CONDELL,R100,RANCAGUA,"U,F,",121359,9/13/2023,8/31/2023,8/31/2024,2023,COMUNIDAD EDIFICIO CONDELL,CONDELL # 1807,,,294,NUNOA,46,SANTIAGO,13,REGION METROPOLITANA DE SANTIAGO,"{""HORMIGON ARMADO""}","{COMERCIO,HABITACION}",2016,{URBANA},-70.624848999999998,-33.451501999999998,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162
-70.62046,-33.44975,1216328,Renta Nacional Generales,1,1446234-1-0,1446234-1,1446234-1-0,1446234,1,53324202,COMUNIDAD EDIFICIO NOVA,R100,SANTIAGO CENTRO,"U,F,",300000,8/9/2024,8/6/2024,8/6/2025,2024,COMUNIDAD EDIFICIO NOVA,"JULIO PRADO NRO,1855",,,294,NUNOA,46,SANTIAGO,13,REGION METROPOLITANA DE SANTIAGO,"{""HORMIGON ARMADO""}","{""BODEGA Y ALMACENAJE"",ESTACIONAMIENTO,HABITACION}",2016,{URBANA},-70.620459999999994,-33.449750000000002,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162
-70.64454,-33.442731,1015487,Renta Nacional Generales,2,1351973-2-0,1351973-2,1351973-2-0,1351973,2,70112000,COMUNIDAD EDIFICIO ALAMEDA,R100,SANTIAGO CENTRO,"U,F,",7810,8/31/2023,8/20/2023,8/20/2024,2023,COMUNIDAD EDIFICIO ALAMEDA,"ALAMEDA NRO,580",,,285,SANTIAGO,46,SANTIAGO,13,REGION METROPOLITANA DE SANTIAGO,"{""HORMIGON ARMADO""}","{""BODEGA Y ALMACENAJE"",COMERCIO,ESTACIONAMIENTO,HABITACION,OFICINA}",2016,{URBANA},-70.644540000000006,-33.442731000000002,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162
-70.64454,-33.442731,1211648,Renta Nacional Generales,2,1443257-2-0,1443257-2,1443257-2-0,1443257,2,70112000,COMUNIDAD EDIFICIO ALAMEDA,R100,SANTIAGO CENTRO,"U,F,",7810,7/30/2024,8/20/2024,8/20/2025,2024,COMUNIDAD EDIFICIO ALAMEDA,"ALAMEDA NRO,580",,,285,SANTIAGO,46,SANTIAGO,13,REGION METROPOLITANA DE SANTIAGO,"{""HORMIGON ARMADO""}","{""BODEGA Y ALMACENAJE"",COMERCIO,ESTACIONAMIENTO,HABITACION,OFICINA}",2016,{URBANA},-70.644540000000006,-33.442731000000002,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162
-70.57848,-33.43738,1120236,Renta Nacional Generales,1,1400900-1-0,1400900-1,1400900-1-0,1400900,1,53324046,COMUNIDAD EDIFICIO HAMBURGO,R100,VINA DEL MAR,"U,F,",120000,3/11/2024,4/21/2024,4/21/2025,2024,COMUNIDAD EDIFICIO HAMBURGO,HAMBURGO 1882,,,285,SANTIAGO,46,SANTIAGO,13,REGION METROPOLITANA DE SANTIAGO,"{""HORMIGON ARMADO""}","{""BODEGA Y ALMACENAJE"",ESTACIONAMIENTO,HABITACION}",2016,{URBANA},-70.578479999999999,-33.437379999999997,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578
-70.6542472716,-33.4353369998,1046242,Renta Nacional Generales,1,1365923-1-0,1365923-1,1365923-1-0,1365923,1,65113843,COMUNIDAD EDIFICIO MORANDÃ©,R100,RANCAGUA,"U,F,",200000,10/25/2023,10/28/2023,10/28/2024,2023,COMUNIDAD EDIFICIO MORANDE,MORANDE # 707,,,285,SANTIAGO,46,SANTIAGO,13,REGION METROPOLITANA DE SANTIAGO,"{""HORMIGON ARMADO""}","{""BODEGA Y ALMACENAJE"",ESTACIONAMIENTO,HABITACION}",2016,{URBANA},-70.654247271599999,-33.435336999800001,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162
-70.6016790098,-33.4335326224,1016365,Renta Nacional Generales,1,1352251-1-0,1352251-1,1352251-1-0,1352251,1,53325621,COMUNIDAD EDIFICIO ESPACIO UNO,R100,PROVIDENCIA,"U,F,",100000,8/31/2023,8/7/2023,8/7/2024,2023,COMUNIDAD EDIFICIO ESPACIO UNO,AVDA LOS LEONES 1572,,,290,PROVIDENCIA,46,SANTIAGO,13,REGION METROPOLITANA DE SANTIAGO,"{""HORMIGON ARMADO""}","{""BODEGA Y ALMACENAJE"",ESTACIONAMIENTO,HABITACION,OFICINA}",2016,{URBANA},-70.601679009799994,-33.433532622400001,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578
-70.6016790098,-33.4335326224,1223798,Renta Nacional Generales,1,1451081-1-0,1451081-1,1451081-1-0,1451081,1,53325621,COMUNIDAD EDIFICIO ESPACIO UNO,R100,PROVIDENCIA,"U,F,",100000,8/28/2024,8/7/2024,8/7/2025,2024,COMUNIDAD EDIFICIO ESPACIO UNO,AVDA LOS LEONES 1572,,,290,PROVIDENCIA,46,SANTIAGO,13,REGION METROPOLITANA DE SANTIAGO,"{""HORMIGON ARMADO""}","{""BODEGA Y ALMACENAJE"",ESTACIONAMIENTO,HABITACION,OFICINA}",2016,{URBANA},-70.601679009799994,-33.433532622400001,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578
-70.607494,-33.432474,1100976,Renta Nacional Generales,1,1391538-1-0,1391538-1,1391538-1-0,1391538,1,53325107,COMUNIDAD EDIFICIO MAR DEL PLATA 2110,R100,APOQUINDO,"U,F,",80000,1/31/2024,1/22/2024,1/22/2025,2024,COMUNIDAD EDIFICIO MAR DEL PLATA 2110,"MAR DE PLATA NRO, 2110",,,290,PROVIDENCIA,46,SANTIAGO,13,REGION METROPOLITANA DE SANTIAGO,"{""HORMIGON ARMADO""}","{""BODEGA Y ALMACENAJE"",ESTACIONAMIENTO,HABITACION}",2016,{URBANA},-70.607494000000003,-33.432473999999999,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578
-70.60742,-33.43031,1011248,Renta Nacional Generales,1,1350211-1-0,1350211-1,1350211-1-0,1350211,1,53324220,EDIFICIO DARIO URZUA,R100,PROVIDENCIA,"U,F,",150000,8/24/2023,8/31/2023,8/31/2024,2023,EDIFICIO DARIO URZUA,DARIO URZUA 2161,,,290,PROVIDENCIA,46,SANTIAGO,13,REGION METROPOLITANA DE SANTIAGO,"{""HORMIGON ARMADO""}","{""BODEGA Y ALMACENAJE"",ESTACIONAMIENTO,HABITACION}",2016,{URBANA},-70.607420000000005,-33.430309999999999,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578,0.491515219211578
-70.6573944091797,-33.4193000793457,1051395,Renta Nacional Generales,1,1367816-1-0,1367816-1,1367816-1-0,1367816,1,65983520,EDIFICIO NUEVA INDEPENDENCIA,R100,SANTIAGO CENTRO,"U,F,",70960,11/3/2023,10/29/2023,10/29/2024,2023,EDIFICIO NUEVA INDEPENDENCIA,"CARRION # 1319, TORRE B",,,285,SANTIAGO,46,SANTIAGO,13,REGION METROPOLITANA DE SANTIAGO,"{""HORMIGON ARMADO""}","{""BODEGA Y ALMACENAJE"",ESTACIONAMIENTO,HABITACION}",2016,{URBANA},-70.657394409179688,-33.419300079345703,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162,0.489192932844162
-70.662472,-33.412008,1255784,Renta Nacional Generales,1,1469893-1-0,1469893-1,1469893-1-0,1469893,1,53324058,EDIFICIO INGLATERRA NORTE,R100,LA FLORIDA,"U,F,",127000,11/6/2024,11/9/2024,11/9/2025,2024,EDIFICIO INGLATERRA NORTE,"AVENIDA INGLATERRA NRO, 1605",,,286,INDEPENDENCIA,46,SANTIAGO,13,REGION METROPOLITANA DE SANTIAGO,"{""HORMIGON ARMADO""}","{""BODEGA Y ALMACENAJE"",ESTACIONAMIENTO,HABITACION}",2016,{URBANA},-70.662471999999994,-33.412008000000000,0.491609901189804,0.491609901189804,0.491609901189804,0.491609901189804,0.491609901189804,0.491609901189804,0.491609901189804
-70.554730594,-33.4032936244,1071485,Renta Nacional Generales,1,1377285-1-0,1377285-1,1377285-1-0,1377285,1,53325659,COMUNIDAD EDIFICIO LINEA II,R100,PROVIDENCIA,"U,F,",245250,12/12/2023,12/1/2023,12/1/2024,2023,COMUNIDAD EDIFICIO LINEA II,RAFAEL SANZIO 77,,,293,LAS CONDES,46,SANTIAGO,13,REGION METROPOLITANA DE SANTIAGO,"{""HORMIGON ARMADO""}","{""BODEGA Y ALMACENAJE"",ESTACIONAMIENTO,HABITACION}",2016,{URBANA},-70.554730594000006,-33.403293624400000,0.499518156051636,0.499518156051636,0.499518156051636,0.499518156051636,0.499518156051636,0.499518156051636,0.499518156051636
-70.582538,-33.400531,1172858,Renta Nacional Generales,1,1423064-1-0,1423064-1,1423064-1-0,1423064,1,65118938,COMUNIDAD EDIFICIO ANDRES DE VERA,R100,PROVIDENCIA,"U,F,",100000,5/17/2024,5/2/2024,5/2/2025,2024,COMUNIDAD EDIFICIO ANDRES DE VERA,"ANDRES DE VERA NRO, 5000",,,291,VITACURA,46,SANTIAGO,13,REGION METROPOLITANA DE SANTIAGO,"{""HORMIGON ARMADO""}","{""BODEGA Y ALMACENAJE"",ESTACIONAMIENTO,HABITACION}",2016,{URBANA},-70.582538000000000,-33.400531000000001,0.492731750011444,0.492731750011444,0.492731750011444,0.492731750011444,0.492731750011444,0.492731750011444,0.492731750011444
