m,N_obs,N_gr,log10_Nobs,log10_Ngr
4.7,696,696.0000000000008,2.842609239610562,2.8426092396105624
4.8,596,538.6631681504352,2.7752462597402365,2.731317281066872
4.8999999999999995,461,416.8936906923339,2.663700925389648,2.6200253225231833
4.999999999999999,363,322.6512589227873,2.5599066250361124,2.508733363979493
5.099999999999999,259,249.71314560211897,2.413299764081252,2.3974414054358024
5.199999999999998,197,193.2633249121382,2.294466226161593,2.286149446892112
5.299999999999998,115,149.57447540870572,2.060697840353612,2.174857488348422
5.399999999999998,80,115.76186896277687,1.9030899869919435,2.0635655298047317
5.499999999999997,56,89.59289523923113,1.7481880270062005,1.9522735712610417
5.599999999999997,44,69.33964481800895,1.6434526764861874,1.8409816127173515
5.699999999999997,34,53.6648171782968,1.5314789170422551,1.7296896541736613
5.799999999999996,29,41.533420171659806,1.462397997898956,1.618397695629971
5.899999999999996,28,32.14443059452506,1.4471580313422192,1.5071057370862808
5.999999999999996,24,24.87790348051532,1.3802112417116061,1.3958137785425915
6.099999999999995,21,19.254037795625155,1.3222192947339193,1.2845218199989012
6.199999999999995,14,14.90149568775813,1.146128035678238,1.173229861455211
6.2999999999999945,12,11.532883444465279,1.0791812460476249,1.0619379029115208
6.399999999999994,9,8.92577519268012,0.9542425094393249,0.9506459443678305
6.499999999999994,8,6.908026355585676,0.9030899869919435,0.8393539858241403
6.599999999999993,6,5.346407129836899,0.7781512503836436,0.7280620272804501
6.699999999999993,6,4.137805463764391,0.7781512503836436,0.6167700687367599
6.799999999999993,2,3.2024186785941167,0.3010299956639812,0.5054781101930695
6.899999999999992,2,2.4784841826948787,0.3010299956639812,0.3941861516493794
6.999999999999992,1,1.9182013535361593,0.0,0.2828941931056901
