lon,lat,rate_total,depth_mean,min_mag,max_mag,mfd_type,magnitude_scaling_relationship,rupture_aspect_ratio,upper_seismogenic_depth,lower_seismogenic_depth
-69.78386,-17.61755,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-69.6895,-17.61755,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-69.59514,-17.61755,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-69.50078,-17.61755,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-69.40643,-17.61755,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-69.31207,-17.61755,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-71.19668,-17.70748,0.002316675895448445,21.318,4.55,5.949999999999995,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-71.10227,-17.70748,0.002316675895448445,21.318,4.55,5.949999999999995,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-71.00787,-17.70748,0.002316675895448445,21.318,4.55,5.949999999999995,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-70.91346,-17.70748,0.002316675895448445,21.318,4.55,5.949999999999995,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-70.81906,-17.70748,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-70.72465,-17.70748,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-70.63025,-17.70748,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-70.53584,-17.70748,0.002316675895448445,21.318,4.55,5.949999999999995,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-70.44144,-17.70748,0.002316675895448445,21.318,4.55,5.949999999999995,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-70.34703,-17.70748,0.002316675895448445,21.318,4.55,5.949999999999995,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-70.25263,-17.70748,0.002316675895448445,21.318,4.55,5.949999999999995,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-70.15822,-17.70748,0.002316675895448445,21.318,4.55,5.949999999999995,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-70.06382,-17.70748,0.002316675895448445,21.318,4.55,5.949999999999995,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-69.96941,-17.70748,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-69.87501,-17.70748,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-69.7806,-17.70748,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-69.6862,-17.70748,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-69.59179,-17.70748,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-69.49739,-17.70748,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-69.40298,-17.70748,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-71.38302,-17.79741,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-71.28857,-17.79741,0.002316675895448445,21.318,4.55,5.949999999999995,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-71.19411,-17.79741,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-71.09966,-17.79741,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-71.00521,-17.79741,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-70.91076,-17.79741,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-70.8163,-17.79741,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-70.72185,-17.79741,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-70.6274,-17.79741,0.0023878709719528813,21.318,4.55,8.149999999999988,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-70.53295,-17.79741,0.002316675895448445,21.318,4.55,5.949999999999995,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-70.43849,-17.79741,0.002316675895448445,21.318,4.55,5.949999999999995,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-70.34404,-17.79741,0.002316675895448445,21.318,4.55,5.949999999999995,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-70.24959,-17.79741,0.002316675895448445,21.318,4.55,5.949999999999995,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-70.15514,-17.79741,0.002316675895448445,21.318,4.55,5.949999999999995,TruncatedGRMFD,WC1994,1.0,0.0,38.0
-70.06069,-17.79741,0.002316675895448445,21.318,4.55,5.949999999999995,TruncatedGRMFD,WC1994,1.0,0.0,38.0
