site,imt,return_period,iml_total,Interface,Intraslab,Crustal,sum
antofagasta,PGA,475,1.3902837109954849,61.21689314115809,38.68917513783628,0.07464746325632966,99.9807157422507
antofagasta,PGA,2475,2.6631934009844276,63.96136325893135,36.03336085546468,0.005019353268517227,99.99974346766456
concepcion,PGA,475,1.4180990107563372,54.228504327536676,45.57261013153544,0.1836735852350016,99.98478804430712
concepcion,PGA,2475,2.666247175360423,55.84021244734442,44.14437631101675,0.012457446737915637,99.99704620509908
copiapo,PGA,475,1.0681792873583427,58.076770764616,41.256532377425266,0.6425583468493055,99.97586148889057
copiapo,PGA,2475,2.0716832448839835,59.74390191689033,40.157131700532716,0.08640434694762235,99.98743796437067
iquique,PGA,475,1.2013948297785453,36.47275736480914,61.99361863399858,1.5250884263170594,99.99146442512478
iquique,PGA,2475,2.2677983639172306,35.61412556648931,63.99295216894673,0.36288629100513176,99.96996402644116
pucon,PGA,475,0.5414244870529966,34.20703642713938,31.982711563604273,33.72627928228747,99.91602727303112
pucon,PGA,2475,0.9657210221198079,38.30430520454068,41.89597899103969,19.666748754842146,99.86703295042251
puerto_aysen,PGA,475,0.48045774866327584,4.7692413020253355,0.3798818330710304,94.84523692301552,99.99436005811188
puerto_aysen,PGA,2475,0.8679213705439908,3.652048203058084,0.42444271333171363,95.91771823505603,99.99420915144583
puerto_montt,PGA,475,0.6270522184333686,79.99903600774402,16.86321152450507,3.1196973149231653,99.98194484717226
puerto_montt,PGA,2475,1.3078607515445344,82.51811686650719,16.673092554940435,0.7894146951200642,99.98062411656768
santiago_centro,PGA,475,0.8788891880756893,40.93442251804779,57.15956477768326,1.8521370244842517,99.94612432021529
santiago_centro,PGA,2475,1.6591288906149906,40.009732080995484,59.60158019219306,0.35304448705113123,99.96435676023968
santiago_penalolen,PGA,475,0.8095567080084848,35.470484257541976,59.935630349242786,4.586312145089368,99.99242675187413
santiago_penalolen,PGA,2475,1.5141430662429765,33.72652316728037,64.06711653361332,2.1922484409113907,99.98588814180508
valparaiso,PGA,475,1.509811182452578,50.910619471110316,48.98976581598705,0.09084812164341492,99.99123340874078
valparaiso,PGA,2475,2.8195329810994223,52.39930387665107,47.59739304558595,0.0029405674510223066,99.99963748968804
