site,return_period,trt,share,mean_M,mean_R,mean_eps
iquique,475,Active Shallow Crust,1.5302442766471456,6.403713469311142,10.001232080597095,1.991278462181839
iquique,475,Subduction Interface,36.50080749327299,8.595610672436756,51.64363296812908,1.6636207734414359
iquique,475,Subduction IntraSlab,61.96894823007985,7.267271026924691,72.90385920913894,1.6847322655888817
antofagasta,475,Active Shallow Crust,0.07499643372372165,6.447401669598843,10.000147716465941,2.3503521178181503
antofagasta,475,Subduction Interface,61.286463891410285,8.66354441144172,32.81843257074951,1.5535290262027448
antofagasta,475,Subduction IntraSlab,38.638539674866,7.202392308138005,60.654602523345204,1.732207472394642
copiapo,475,Active Shallow Crust,0.6463672128497027,6.414065942559533,10.035495887078591,2.1528399876435116
copiapo,475,Subduction Interface,58.15109119705311,8.869164014059209,51.98893625973275,1.5412315633433633
copiapo,475,Subduction IntraSlab,41.20254159009718,7.254084868525915,76.61173176845806,1.6687208841744197
valparaiso,475,Active Shallow Crust,0.09387676155763824,6.325064801612478,10.005465334407917,2.494060170551164
valparaiso,475,Subduction Interface,51.31575232196291,8.829641386170557,32.54128977290775,1.6410968311733365
valparaiso,475,Subduction IntraSlab,48.59037091647946,7.181815403165202,55.15718925780125,1.7467607453419907
santiago_centro,475,Active Shallow Crust,1.829523494421486,6.140269910915039,10.336164893439541,2.1637715424004296
santiago_centro,475,Subduction Interface,40.6216673399187,8.970256967000603,72.4437111586953,1.6694111338585935
santiago_centro,475,Subduction IntraSlab,57.54880916565981,7.319195737757614,91.4890364055518,1.6550045114655576
santiago_penalolen,475,Active Shallow Crust,4.591365548314882,6.260195813287459,10.266904035660026,1.7689390252030932
santiago_penalolen,475,Subduction Interface,35.50673171469062,8.99152694916313,91.42760335296101,1.7115514588574279
santiago_penalolen,475,Subduction IntraSlab,59.90190273699449,7.32525860982296,97.67864214923497,1.6640617963009594
concepcion,475,Active Shallow Crust,0.18551365720515461,6.555922355195893,10.003959729348033,2.3334791172264713
concepcion,475,Subduction Interface,54.281311732387906,8.74951339933669,33.24057202443838,1.6230250557227262
concepcion,475,Subduction IntraSlab,45.533174610406945,7.151329519136533,56.46645805611012,1.7398093574252866
pucon,475,Active Shallow Crust,33.682617999810354,6.3590381507726015,10.448258192609206,1.7464927536004962
pucon,475,Subduction Interface,34.06986951578354,8.922237442544683,114.20543370464715,1.7120439283350415
pucon,475,Subduction IntraSlab,32.247512484406094,7.259318856353299,113.8831607512083,1.6125606070359484
puerto_montt,475,Active Shallow Crust,3.1112859943672997,6.173453815134506,11.021994736990315,1.8471570704529183
puerto_montt,475,Subduction Interface,79.84020001719617,8.64872255511765,73.19577816546784,1.3811552900053443
puerto_montt,475,Subduction IntraSlab,17.048513988436547,7.100208849522324,85.80751352879587,1.5279396585500826
puerto_aysen,475,Active Shallow Crust,94.85046185107052,6.531383189468941,10.697834717194777,1.3052731473162786
puerto_aysen,475,Subduction Interface,4.76515601297004,8.898154253036445,151.34187750587364,1.973573562551404
puerto_aysen,475,Subduction IntraSlab,0.3843821359594441,7.399673547819005,125.56363040066658,1.7464202167084706
iquique,2475,Active Shallow Crust,0.37644157033839193,6.557155728987919,10.0,2.600175468238899
iquique,2475,Subduction Interface,35.70200553561546,8.792023209259595,50.606985415174954,2.142272628361455
iquique,2475,Subduction IntraSlab,63.92155289404616,7.4261174974246575,63.273573559143166,1.914971499655868
antofagasta,2475,Active Shallow Crust,0.005034609696911061,7.0063582624381455,10.0,2.5939091501042855
antofagasta,2475,Subduction Interface,64.04419931261579,8.838771682782207,31.303605574586857,2.063264837516935
antofagasta,2475,Subduction IntraSlab,35.950766077687284,7.37710314824647,52.45445493486734,1.9914408384812905
copiapo,2475,Active Shallow Crust,0.09053757151159199,6.816278320296332,10.0,2.5493771044410676
copiapo,2475,Subduction Interface,59.84765313085368,8.997784043128327,50.71028037666346,2.1082744015571935
copiapo,2475,Subduction IntraSlab,40.06180929763473,7.422389334766319,68.1763623048555,1.922129732314152
valparaiso,2475,Active Shallow Crust,0.003145413389327756,7.048390352061407,10.0,2.625
valparaiso,2475,Subduction Interface,52.73476751097901,8.980227328683426,31.206095097037295,2.165792602260152
valparaiso,2475,Subduction IntraSlab,47.262087075631655,7.371450233319654,49.68840291821198,2.0224776202619665
santiago_centro,2475,Active Shallow Crust,0.3465825899260392,6.564598445267318,10.001128446490684,2.437829887089114
santiago_centro,2475,Subduction Interface,39.2990514840153,9.07916640075303,70.86326176345304,2.2071184563024917
santiago_centro,2475,Subduction IntraSlab,60.354365926058655,7.491778155574541,83.65945640176668,1.9311753501438862
santiago_penalolen,2475,Active Shallow Crust,2.1898632251019494,6.609517970163233,10.0,2.198937780162389
santiago_penalolen,2475,Subduction Interface,33.728743023397605,9.096863377946764,90.40296617278578,2.2384396626501606
santiago_penalolen,2475,Subduction IntraSlab,64.08139375150044,7.497324370508645,90.06869002432512,1.9395995165500146
concepcion,2475,Active Shallow Crust,0.013074758454048789,7.000377881454569,10.0,2.615271248984873
concepcion,2475,Subduction Interface,55.92151883305793,8.916690644190977,31.56346002450352,2.1389343178506754
concepcion,2475,Subduction IntraSlab,44.065406408488016,7.335111502016824,50.86142962658556,2.0316402845030517
pucon,2475,Active Shallow Crust,19.61900171095964,6.464163424820264,10.007021787852537,2.315058786201155
pucon,2475,Subduction Interface,38.147250752861844,9.046218307340652,111.81999632660316,2.1723661655583273
pucon,2475,Subduction IntraSlab,42.2337475361785,7.412554907720066,105.11031572388013,1.8449705021822036
puerto_montt,2475,Active Shallow Crust,0.7919349010286006,6.563291338984911,10.023949698425458,2.271121181194528
puerto_montt,2475,Subduction Interface,82.40032664045185,8.846038934769082,70.96723550700631,1.9107751076481785
puerto_montt,2475,Subduction IntraSlab,16.807738458519566,7.311350546145416,76.11621624248832,1.7691958073738279
puerto_aysen,2475,Active Shallow Crust,95.91312187860726,6.619337413489298,10.027749748560316,1.8299381197123301
puerto_aysen,2475,Subduction Interface,3.6597860015749837,9.065888371232509,145.65645402840616,2.360557952551242
puerto_aysen,2475,Subduction IntraSlab,0.4270921198177404,7.570181270594458,106.92295610678946,1.8677369498871228
