lon,lat
-7.055672930181802371e+01,-1.806067527443613585e+01
-7.049980618899128615e+01,-1.812858337504823325e+01
-7.044469263930633929e+01,-1.819740909290771214e+01
-7.039143417888367082e+01,-1.826710778652019940e+01
-7.034004537391193423e+01,-1.833763734446285554e+01
-7.029050820979416869e+01,-1.840895496298821143e+01
-7.024278017333328705e+01,-1.848101957435744680e+01
-7.019679810909536855e+01,-1.855379036566657902e+01
-7.015248588770549532e+01,-1.862722724990822343e+01
-7.010976256884116253e+01,-1.870129208546209298e+01
-7.006854769418929152e+01,-1.877594990099564143e+01
-7.002876688686639284e+01,-1.885116912150814272e+01
-6.999035705203253599e+01,-1.892692385854891768e+01
-6.995326718930537879e+01,-1.900319365926202764e+01
-6.991745950615492688e+01,-1.907996249900772767e+01
-6.988291036603480677e+01,-1.915722054102322858e+01
-6.984960743529113358e+01,-1.923496227809032533e+01
-6.981754755870841223e+01,-1.931318571638464476e+01
-6.978673243862843378e+01,-1.939189073547492370e+01
-6.975716733289596050e+01,-1.947107857529940844e+01
-6.972885559522872256e+01,-1.955074977303218020e+01
-6.970179558839379297e+01,-1.963090299007733464e+01
-6.967597794182542259e+01,-1.971153397376723504e+01
-6.965138352379979381e+01,-1.979263478955692079e+01
-6.962798356729284421e+01,-1.987419388111198870e+01
-6.960574050924793710e+01,-1.995619637752239228e+01
-6.958461042679284958e+01,-2.003862501468655211e+01
-6.956454733423836956e+01,-2.012146177037718786e+01
-6.954550573695091487e+01,-2.020468881910240100e+01
-6.952744448447158732e+01,-2.028828998918202231e+01
-6.951032846236671503e+01,-2.037225139921688921e+01
-6.949412847800486759e+01,-2.045656142558177848e+01
-6.947882164401953276e+01,-2.054121084026700572e+01
-6.946438763020711349e+01,-2.062619141229389541e+01
-6.945080416243406773e+01,-2.071149422233657589e+01
-6.943804368920251591e+01,-2.079710842211000354e+01
-6.942607031747557755e+01,-2.088302009576707263e+01
-6.941483755643507436e+01,-2.096921142284072559e+01
-6.940428698540667085e+01,-2.105566018430134179e+01
-6.939435158222714506e+01,-2.114234101816558820e+01
-6.938495746713766721e+01,-2.122922606514542210e+01
-6.937602818563237861e+01,-2.131628656298963875e+01
-6.936749227441579535e+01,-2.140349566475217813e+01
-6.935928519337964815e+01,-2.149082913354655133e+01
-6.935135676483196221e+01,-2.157826810050677580e+01
-6.934367223702786021e+01,-2.166579942796508362e+01
-6.933621756675518100e+01,-2.175341765108491643e+01
-6.932899806858664249e+01,-2.184112443968754036e+01
-6.932204127203290511e+01,-2.192892963792524341e+01
-6.931539430056683671e+01,-2.201685014017359165e+01
-6.930912048517740232e+01,-2.210490802838089053e+01
-6.930329265838257413e+01,-2.219312938580410233e+01
-6.929798520730047073e+01,-2.228153983061568155e+01
-6.929326400781140194e+01,-2.237016073470229927e+01
-6.928918004431290001e+01,-2.245900558910638978e+01
-6.928576129198656020e+01,-2.254807679436430590e+01
-6.928301195607240004e+01,-2.263736362485837006e+01
-6.928091861578171518e+01,-2.272684168636811464e+01
-6.927945632961362321e+01,-2.281647412920381512e+01
-6.927860081448574192e+01,-2.290621354170711399e+01
-6.927833898896669496e+01,-2.299600325959353242e+01
-6.927867866086400284e+01,-2.308578146388133945e+01
-6.927965338871564427e+01,-2.317548319666187950e+01
-6.928132343551799011e+01,-2.326504261309306898e+01
-6.928376874385320150e+01,-2.335439640085526136e+01
-6.928708146636958531e+01,-2.344348623846987678e+01
-6.929135419498807380e+01,-2.353226108178664333e+01
-6.929666747754174594e+01,-2.362068031432766446e+01
-6.930308278967763158e+01,-2.370871502943890974e+01
-6.931063557835540223e+01,-2.379634870970422611e+01
-6.931933163704555056e+01,-2.388357743781702069e+01
-6.932915078512215246e+01,-2.397040780622154443e+01
-6.934004791264538881e+01,-2.405685631314603512e+01
-6.935195856547427695e+01,-2.414294599421255327e+01
-6.936480638666162690e+01,-2.422870461305174672e+01
-6.937850526963492825e+01,-2.431416357335678669e+01
-6.939296630546716926e+01,-2.439935520131936997e+01
-6.940810005378197900e+01,-2.448431192159544167e+01
-6.942381986816144490e+01,-2.456906507487349600e+01
-6.944004581731259407e+01,-2.465364353746665671e+01
-6.945670514073059110e+01,-2.473807355626651017e+01
-6.947373374934043966e+01,-2.482237822716451348e+01
-6.949107766692409882e+01,-2.490657700206854486e+01
-6.950868991916870243e+01,-2.499068678179182967e+01
-6.952653117092047808e+01,-2.507472171292893037e+01
-6.954456814565183720e+01,-2.515869375583950074e+01
-6.956276988360434643e+01,-2.524261399741849132e+01
-6.958110808120171953e+01,-2.532649255049284065e+01
-6.959955590731965458e+01,-2.541033897506628492e+01
-6.961808569598899510e+01,-2.549416308005926979e+01
-6.963667063009691560e+01,-2.557797434796169611e+01
-6.965528466799504770e+01,-2.566178196264419142e+01
-6.967390324382476763e+01,-2.574559454576657203e+01
-6.969250316002496959e+01,-2.582942021979123837e+01
-6.971106482307688168e+01,-2.591326582696231995e+01
