longitude,latitude,mag,tc_years,mc_window,weight
-71.0,-29.0,6.9,49.99863107460644,6.8,1.2619492392475657
-70.092,-18.358,6.9,49.99863107460644,6.8,1.2619492392475657
-67.0,-18.0,7.1,49.99863107460644,6.8,1.2619492392475657
-72.887,-37.911,7.0,49.99863107460644,6.8,1.2619492392475657
-73.0,-39.102,7.4,49.99863107460644,6.8,1.2619492392475657
-66.0,-18.0,6.9,49.99863107460644,6.8,1.2619492392475657
-66.0,-19.5,6.9,49.99863107460644,6.8,1.2619492392475657
-67.0,-21.0,6.8,49.99863107460644,6.8,1.2619492392475657
-71.5,-36.0,6.2,25.99863107460644,6.0,0.3846356360572872
-71.1,-17.2,6.2,25.99863107460644,6.0,0.3846356360572872
-65.0,-20.5,6.0,25.99863107460644,6.0,0.3846356360572872
-70.9,-17.2,6.2,25.99863107460644,6.0,0.3846356360572872
-70.155,-26.406,6.4,25.99863107460644,6.0,0.3846356360572872
-65.0,-20.0,6.0,25.99863107460644,6.0,0.3846356360572872
-65.0,-23.5,6.1,25.99863107460644,6.0,0.3846356360572872
-73.367,-41.579,6.3,25.99863107460644,6.0,0.3846356360572872
-73.613,-43.642,6.1,25.99863107460644,6.0,0.3846356360572872
-72.917,-38.154,7.2,25.99863107460644,6.0,0.3846356360572872
-72.813,-39.071,6.9,25.99863107460644,6.0,0.3846356360572872
-73.836,-42.904,6.1,25.99863107460644,6.0,0.3846356360572872
-69.5,-24.4,6.8,25.99863107460644,6.0,0.3846356360572872
-69.4,-18.9,6.6,25.99863107460644,6.0,0.3846356360572872
-70.5,-17.1,6.5,25.99863107460644,6.0,0.3846356360572872
-69.962,-22.691,6.3,25.99863107460644,6.0,0.3846356360572872
-72.695,-38.231,6.3,25.99863107460644,6.0,0.3846356360572872
-70.55,-25.494,7.7,25.99863107460644,6.0,0.3846356360572872
-72.912,-38.152,7.8,25.99863107460644,6.0,0.3846356360572872
-66.589,-22.648,6.6,25.99863107460644,6.0,0.3846356360572872
-66.231,-27.75,5.6,10.001368925393566,5.3,0.1994989215829135
-74.727,-39.999,6.4,10.001368925393566,5.3,0.1994989215829135
-66.301,-21.327,5.9,10.001368925393566,5.3,0.1994989215829135
-71.307,-17.853,5.5,10.001368925393566,5.3,0.1994989215829135
-69.21,-19.947,5.9,10.001368925393566,5.3,0.1994989215829135
-70.599,-25.12,5.4,10.001368925393566,5.3,0.1994989215829135
-69.71,-23.51,5.9,10.001368925393566,5.3,0.1994989215829135
-69.789,-21.951,5.6,10.001368925393566,5.3,0.1994989215829135
-72.463,-36.286,6.1,10.001368925393566,5.3,0.1994989215829135
-69.022,-22.301,5.9,10.001368925393566,5.3,0.1994989215829135
-72.247,-39.009,5.5,10.001368925393566,5.3,0.1994989215829135
-71.362,-17.945,5.4,10.001368925393566,5.3,0.1994989215829135
-68.976,-22.882,5.7,10.001368925393566,5.3,0.1994989215829135
-69.685,-18.797,5.4,10.001368925393566,5.3,0.1994989215829135
-69.898,-20.457,5.5,10.001368925393566,5.3,0.1994989215829135
-73.103,-39.664,5.8,10.001368925393566,5.3,0.1994989215829135
-71.81,-33.96,6.4,10.001368925393566,5.3,0.1994989215829135
-69.562,-20.823,5.4,10.001368925393566,5.3,0.1994989215829135
-71.762,-17.812,5.5,10.001368925393566,5.3,0.1994989215829135
-70.83,-20.84,5.7,10.001368925393566,5.3,0.1994989215829135
-73.45,-41.97,5.6,10.001368925393566,5.3,0.1994989215829135
-71.999,-17.053,5.5,10.001368925393566,5.3,0.1994989215829135
-70.322,-19.363,5.5,10.001368925393566,5.3,0.1994989215829135
-69.591,-18.913,5.7,10.001368925393566,5.3,0.1994989215829135
-70.355,-26.116,5.9,10.001368925393566,5.3,0.1994989215829135
-71.01,-32.641,5.4,10.001368925393566,5.3,0.1994989215829135
-72.08,-33.43,6.3,10.001368925393566,5.3,0.1994989215829135
-71.42,-34.18,5.4,10.001368925393566,5.3,0.1994989215829135
-70.241,-18.097,5.4,10.001368925393566,5.3,0.1994989215829135
-74.3,-41.0,5.3,10.001368925393566,5.3,0.1994989215829135
-69.383,-21.444,5.4,10.001368925393566,5.3,0.1994989215829135
-73.402,-42.049,5.6,11.000684462696784,5.2,0.144072234580991
-69.7,-23.53,6.0,11.000684462696784,5.2,0.144072234580991
-70.031,-24.055,6.2,11.000684462696784,5.2,0.144072234580991
-71.09,-20.01,5.3,11.000684462696784,5.2,0.144072234580991
-72.13,-18.22,5.6,11.000684462696784,5.2,0.144072234580991
-72.546,-40.542,5.6,11.000684462696784,5.2,0.144072234580991
-70.052,-19.185,6.4,11.000684462696784,5.2,0.144072234580991
-70.633,-28.162,6.1,11.000684462696784,5.2,0.144072234580991
-70.56,-24.93,7.2,11.000684462696784,5.2,0.144072234580991
-73.274,-41.467,5.2,11.000684462696784,5.2,0.144072234580991
-70.906,-17.051,5.3,11.000684462696784,5.2,0.144072234580991
-71.57,-32.92,6.1,11.000684462696784,5.2,0.144072234580991
-69.957,-22.209,5.5,11.000684462696784,5.2,0.144072234580991
-71.18,-26.72,6.1,11.000684462696784,5.2,0.144072234580991
-72.808,-37.869,5.2,11.000684462696784,5.2,0.144072234580991
-73.441,-42.186,5.2,11.000684462696784,5.2,0.144072234580991
-70.21,-23.52,5.5,11.000684462696784,5.2,0.144072234580991
-73.303,-36.985,6.3,11.000684462696784,5.2,0.144072234580991
-71.67,-18.33,5.6,11.000684462696784,5.2,0.144072234580991
-72.532,-35.288,5.2,11.000684462696784,5.2,0.144072234580991
-70.408,-23.025,5.2,11.000684462696784,5.2,0.144072234580991
-72.789,-40.116,5.3,11.000684462696784,5.2,0.144072234580991
-69.393,-21.413,5.4,11.000684462696784,5.2,0.144072234580991
-71.594,-35.17,5.4,11.000684462696784,5.2,0.144072234580991
-72.35,-17.32,5.2,11.000684462696784,5.2,0.144072234580991
-69.85,-23.05,5.2,11.000684462696784,5.2,0.144072234580991
-73.247,-39.892,5.7,11.000684462696784,5.2,0.144072234580991
-72.743,-41.265,5.6,11.000684462696784,5.2,0.144072234580991
-70.885,-18.426,5.4,11.000684462696784,5.2,0.144072234580991
-69.7,-19.013,5.5,11.000684462696784,5.2,0.144072234580991
-68.939,-22.728,5.2,11.000684462696784,5.2,0.144072234580991
-72.81,-36.33,5.5,11.000684462696784,5.2,0.144072234580991
-69.99,-25.191,5.2,11.000684462696784,5.2,0.144072234580991
-70.715,-24.359,6.2,11.000684462696784,5.2,0.144072234580991
-69.988,-24.077,5.2,11.000684462696784,5.2,0.144072234580991
-70.74,-23.0,6.1,11.000684462696784,5.2,0.144072234580991
-70.12,-22.39,5.6,11.000684462696784,5.2,0.144072234580991
-70.029,-18.237,5.4,11.000684462696784,5.2,0.144072234580991
-69.553,-24.562,5.0,4.999315537303217,5.0,0.2000273822562979
-71.557,-29.274,5.8,4.999315537303217,5.0,0.2000273822562979
-72.92,-41.99,5.2,4.999315537303217,5.0,0.2000273822562979
-69.616,-19.673,5.4,4.999315537303217,5.0,0.2000273822562979
-69.59,-17.97,5.2,4.999315537303217,5.0,0.2000273822562979
-71.695,-31.305,4.7,5.9986310746064335,4.7,0.08355026795178516
-71.38,-28.831,4.8,5.9986310746064335,4.7,0.08355026795178516
-69.6,-20.23,5.6,5.9986310746064335,4.7,0.08355026795178516
-73.364,-37.174,5.0,5.9986310746064335,4.7,0.08355026795178516
-73.311,-38.652,5.3,5.9986310746064335,4.7,0.08355026795178516
-70.144,-17.323,5.3,5.9986310746064335,4.7,0.08355026795178516
-71.054,-17.72,5.4,5.9986310746064335,4.7,0.08355026795178516
-71.818,-17.498,6.7,5.9986310746064335,4.7,0.08355026795178516
-71.177,-29.662,4.7,5.9986310746064335,4.7,0.08355026795178516
-69.528,-21.135,5.0,5.9986310746064335,4.7,0.08355026795178516
-69.244,-19.893,4.9,5.9986310746064335,4.7,0.08355026795178516
-69.243,-19.541,4.9,5.9986310746064335,4.7,0.08355026795178516
-72.061,-35.531,5.0,5.9986310746064335,4.7,0.08355026795178516
-70.794,-17.289,5.2,5.9986310746064335,4.7,0.08355026795178516
-71.659,-33.777,5.0,5.9986310746064335,4.7,0.08355026795178516
-70.64,-25.575,4.9,5.9986310746064335,4.7,0.08355026795178516
-72.411,-17.019,5.2,5.9986310746064335,4.7,0.08355026795178516
-72.72,-38.307,4.7,5.9986310746064335,4.7,0.08355026795178516
-70.777,-27.741,4.8,5.9986310746064335,4.7,0.08355026795178516
-71.431,-30.812,5.0,5.9986310746064335,4.7,0.08355026795178516
-71.085,-17.276,5.0,5.9986310746064335,4.7,0.08355026795178516
-68.529,-34.778,5.0,5.9986310746064335,4.7,0.08355026795178516
-69.846,-19.131,4.8,5.9986310746064335,4.7,0.08355026795178516
-71.916,-30.534,4.7,5.9986310746064335,4.7,0.08355026795178516
-69.625,-21.219,5.0,5.9986310746064335,4.7,0.08355026795178516
-70.285,-19.301,4.7,5.9986310746064335,4.7,0.08355026795178516
-70.183,-28.204,5.0,5.9986310746064335,4.7,0.08355026795178516
-66.252,-22.161,4.7,5.9986310746064335,4.7,0.08355026795178516
-70.56,-17.28,5.7,5.9986310746064335,4.7,0.08355026795178516
-71.718,-30.723,5.4,5.9986310746064335,4.7,0.08355026795178516
-70.227,-17.941,5.2,5.9986310746064335,4.7,0.08355026795178516
-69.874,-18.596,5.4,5.9986310746064335,4.7,0.08355026795178516
-70.421,-20.569,5.1,5.9986310746064335,4.7,0.08355026795178516
-66.655,-24.035,4.7,5.9986310746064335,4.7,0.08355026795178516
-73.155,-38.854,6.1,5.9986310746064335,4.7,0.08355026795178516
-71.025,-18.25,5.3,5.9986310746064335,4.7,0.08355026795178516
-70.472,-18.41,4.8,5.9986310746064335,4.7,0.08355026795178516
-69.842,-18.271,4.7,5.9986310746064335,4.7,0.08355026795178516
-70.667,-28.331,4.8,5.9986310746064335,4.7,0.08355026795178516
-73.24,-38.06,5.3,5.9986310746064335,4.7,0.08355026795178516
-69.152,-25.035,5.2,5.9986310746064335,4.7,0.08355026795178516
-69.749,-27.047,5.0,5.9986310746064335,4.7,0.08355026795178516
-72.367,-35.889,4.7,5.9986310746064335,4.7,0.08355026795178516
-74.313,-42.653,5.2,5.9986310746064335,4.7,0.08355026795178516
-70.524,-20.257,4.8,5.9986310746064335,4.7,0.08355026795178516
-66.631,-24.215,4.7,5.9986310746064335,4.7,0.08355026795178516
-71.398,-30.553,4.8,5.9986310746064335,4.7,0.08355026795178516
-70.757,-25.217,5.4,5.9986310746064335,4.7,0.08355026795178516
-71.414,-17.673,5.3,5.9986310746064335,4.7,0.08355026795178516
-71.83,-30.819,4.7,5.9986310746064335,4.7,0.08355026795178516
-73.003,-35.499,4.8,5.9986310746064335,4.7,0.08355026795178516
-69.933,-22.606,4.8,5.9986310746064335,4.7,0.08355026795178516
-70.44,-17.44,4.7,5.9986310746064335,4.7,0.08355026795178516
-73.87,-42.303,5.2,5.9986310746064335,4.7,0.08355026795178516
-69.99,-19.322,5.3,5.9986310746064335,4.7,0.08355026795178516
-71.02,-17.195,4.7,5.9986310746064335,4.7,0.08355026795178516
-71.199,-27.291,5.0,5.9986310746064335,4.7,0.08355026795178516
-71.137,-18.383,4.8,5.9986310746064335,4.7,0.08355026795178516
-68.982,-23.546,4.8,5.9986310746064335,4.7,0.08355026795178516
-71.251,-17.782,4.9,5.9986310746064335,4.7,0.08355026795178516
-69.24,-19.52,4.7,5.9986310746064335,4.7,0.08355026795178516
-72.179,-36.466,4.8,5.9986310746064335,4.7,0.08355026795178516
-69.974,-25.441,4.7,5.9986310746064335,4.7,0.08355026795178516
-66.406,-23.195,5.1,3.0006844626967832,4.7,0.16702430390726392
-70.48,-19.85,5.5,3.0006844626967832,4.7,0.16702430390726392
-71.996,-31.606,5.0,3.0006844626967832,4.7,0.16702430390726392
-71.897,-30.834,4.8,3.0006844626967832,4.7,0.16702430390726392
-71.451,-32.404,5.6,3.0006844626967832,4.7,0.16702430390726392
-66.4,-24.097,4.8,3.0006844626967832,4.7,0.16702430390726392
-74.088,-41.96,4.7,3.0006844626967832,4.7,0.16702430390726392
-70.623,-17.185,5.3,3.0006844626967832,4.7,0.16702430390726392
-69.793,-17.217,4.8,3.0006844626967832,4.7,0.16702430390726392
-70.126,-17.008,4.8,3.0006844626967832,4.7,0.16702430390726392
-70.311,-25.966,5.1,3.0006844626967832,4.7,0.16702430390726392
-70.261,-27.876,4.7,3.0006844626967832,4.7,0.16702430390726392
-70.241,-22.916,5.0,3.0006844626967832,4.7,0.16702430390726392
-69.62,-22.419,4.7,3.0006844626967832,4.7,0.16702430390726392
-70.92,-23.06,5.9,3.0006844626967832,4.7,0.16702430390726392
-70.213,-17.563,5.5,3.0006844626967832,4.7,0.16702430390726392
-69.75,-23.256,5.0,3.0006844626967832,4.7,0.16702430390726392
-74.069,-43.028,4.9,3.0006844626967832,4.7,0.16702430390726392
-69.89,-25.892,4.9,3.0006844626967832,4.7,0.16702430390726392
-72.361,-35.989,4.9,3.0006844626967832,4.7,0.16702430390726392
-73.11,-42.804,4.8,3.0006844626967832,4.7,0.16702430390726392
-70.228,-22.608,5.1,3.0006844626967832,4.7,0.16702430390726392
-69.56,-20.41,5.75,3.0006844626967832,4.7,0.16702430390726392
-65.825,-22.729,4.7,3.0006844626967832,4.7,0.16702430390726392
-70.408,-19.515,5.4,3.0006844626967832,4.7,0.16702430390726392
-69.27,-19.568,5.4,3.0006844626967832,4.7,0.16702430390726392
-65.927,-28.334,4.7,3.0006844626967832,4.7,0.16702430390726392
-73.006,-38.249,4.8,3.0006844626967832,4.7,0.16702430390726392
-74.967,-39.634,5.9,3.0006844626967832,4.7,0.16702430390726392
-69.418,-21.53,4.9,3.0006844626967832,4.7,0.16702430390726392
-72.136,-36.72,5.3,3.0006844626967832,4.7,0.16702430390726392
-71.745,-35.003,5.2,3.0006844626967832,4.7,0.16702430390726392
-71.223,-35.064,4.9,3.0006844626967832,4.7,0.16702430390726392
-71.843,-33.481,5.4,3.0006844626967832,4.7,0.16702430390726392
-72.656,-37.162,5.3,3.0006844626967832,4.7,0.16702430390726392
-73.204,-37.381,5.2,3.0006844626967832,4.7,0.16702430390726392
-71.529,-35.455,5.4,3.0006844626967832,4.7,0.16702430390726392
-73.144,-36.451,6.2,3.0006844626967832,4.7,0.16702430390726392
-70.703,-31.36,4.9,3.0006844626967832,4.7,0.16702430390726392
-72.965,-37.775,5.2,3.0006844626967832,4.7,0.16702430390726392
-72.75,-35.22,5.6,3.0006844626967832,4.7,0.16702430390726392
-72.167,-36.041,5.2,3.0006844626967832,4.7,0.16702430390726392
-72.014,-35.61,5.2,3.0006844626967832,4.7,0.16702430390726392
-70.67,-28.419,4.7,3.0006844626967832,4.7,0.16702430390726392
-73.711,-36.845,5.5,3.0006844626967832,4.7,0.16702430390726392
-73.24,-38.331,5.2,3.0006844626967832,4.7,0.16702430390726392
-71.764,-32.676,5.1,3.0006844626967832,4.7,0.16702430390726392
-73.223,-35.849,5.2,3.0006844626967832,4.7,0.16702430390726392
-71.79,-34.32,7.0,3.0006844626967832,4.7,0.16702430390726392
-72.385,-38.124,5.2,3.0006844626967832,4.7,0.16702430390726392
-73.471,-37.815,4.8,3.0006844626967832,4.7,0.16702430390726392
-72.615,-35.847,5.1,3.0006844626967832,4.7,0.16702430390726392
-72.22,-34.87,5.1,3.0006844626967832,4.7,0.16702430390726392
-69.626,-19.644,5.0,3.0006844626967832,4.7,0.16702430390726392
-67.637,-31.897,4.9,3.0006844626967832,4.7,0.16702430390726392
-71.133,-31.148,4.8,3.0006844626967832,4.7,0.16702430390726392
-69.988,-21.562,5.2,3.0006844626967832,4.7,0.16702430390726392
-69.992,-17.014,5.1,3.0006844626967832,4.7,0.16702430390726392
-73.078,-39.009,4.8,3.0006844626967832,4.7,0.16702430390726392
-71.655,-17.472,4.7,3.0006844626967832,4.7,0.16702430390726392
-70.602,-30.689,4.8,3.0006844626967832,4.7,0.16702430390726392
-73.767,-37.363,5.1,3.0006844626967832,4.7,0.16702430390726392
-72.562,-36.13,5.1,3.0006844626967832,4.7,0.16702430390726392
-69.793,-25.06,5.6,3.0006844626967832,4.7,0.16702430390726392
-73.448,-37.73,5.0,3.0006844626967832,4.7,0.16702430390726392
-71.128,-29.689,4.9,3.0006844626967832,4.7,0.16702430390726392
-71.269,-17.548,4.8,3.0006844626967832,4.7,0.16702430390726392
-74.03,-38.373,6.9,3.0006844626967832,4.7,0.16702430390726392
-72.871,-38.756,5.0,3.0006844626967832,4.7,0.16702430390726392
-71.907,-37.692,5.2,3.0006844626967832,4.7,0.16702430390726392
-67.284,-27.307,5.0,3.0006844626967832,4.7,0.16702430390726392
-70.557,-31.598,4.8,3.0006844626967832,4.7,0.16702430390726392
-71.783,-32.659,4.9,3.0006844626967832,4.7,0.16702430390726392
-71.54,-35.65,5.2,3.0006844626967832,4.7,0.16702430390726392
-72.078,-35.569,5.2,3.0006844626967832,4.7,0.16702430390726392
-72.601,-35.711,4.9,3.0006844626967832,4.7,0.16702430390726392
-71.784,-32.193,4.7,3.0006844626967832,4.7,0.16702430390726392
-70.344,-23.89,4.7,3.0006844626967832,4.7,0.16702430390726392
-69.376,-23.981,5.2,3.0006844626967832,4.7,0.16702430390726392
-70.78,-26.708,4.9,3.0006844626967832,4.7,0.16702430390726392
