lon,lat,rate_MgeMcmin_per_year
-71.04,-17.226,0.037448909748218864
-70.94,-17.226,0.03800784494553944
-70.84,-17.226,0.03729212971371579
-70.74,-17.226,0.03588339863781846
-70.64,-17.226,0.03454561280555356
-70.54,-17.226,0.032783176526506225
-70.44,-17.226,0.030872312108549804
-70.34,-17.226,0.028926043596484714
-70.24,-17.226,0.027116042534743732
-70.14,-17.226,0.02548357522895042
-70.04,-17.226,0.0241176407715611
-69.94,-17.226,0.022546260527018507
-69.84,-17.226,0.020864568172514683
-69.74,-17.226,0.019048921993923034
-69.64,-17.226,0.01715766700774507
-69.54,-17.226,0.015344858277717241
-69.44,-17.226,0.01363290614027679
-69.34,-17.226,0.012129089220518545
-69.24,-17.226,0.010846941546307423
-69.14,-17.226,0.009768286231012446
-69.04,-17.226,0.008866338434293219
-68.94,-17.226,0.008115513473456635
-68.84,-17.226,0.007493748811995754
-68.74,-17.226,0.0069848117456966004
-68.64,-17.226,0.006663500062052426
-68.54,-17.226,0.006328367722920573
-68.44,-17.226,0.006060153046359028
-68.34,-17.226,0.005848217096567507
-68.24,-17.226,0.005779699533735612
-68.14,-17.226,0.005657650953836482
-68.04,-17.226,0.005567537398028598
-67.94,-17.226,0.005496712988489585
-67.84,-17.226,0.005457560532187132
-67.74,-17.226,0.005436379176444848
-67.64,-17.226,0.005393655541812085
-71.24,-17.326,0.03291464194376903
-71.14,-17.326,0.03587152634264036
-71.04,-17.326,0.0375950349339841
-70.94,-17.326,0.03780448698130086
-70.84,-17.326,0.03684141235264493
-70.74,-17.326,0.035291856483767585
-70.64,-17.326,0.03387402977812211
-70.54,-17.326,0.032113295723398966
-70.44,-17.326,0.030349447250970094
-70.34,-17.326,0.02863007072406351
-70.24,-17.326,0.02702031410807077
-70.14,-17.326,0.025687826421920974
-70.04,-17.326,0.02419211197448594
-69.94,-17.326,0.02265056393623689
-69.84,-17.326,0.021015811774939174
-69.74,-17.326,0.019327577648621655
-69.64,-17.326,0.017526832186976878
-69.54,-17.326,0.01575072546451968
-69.44,-17.326,0.014099864588986077
-69.34,-17.326,0.012634193800747038
-69.24,-17.326,0.011360746527077513
-69.14,-17.326,0.010269612647206805
-69.04,-17.326,0.009341133269545988
-68.94,-17.326,0.008556446185307596
-68.84,-17.326,0.007898733249513332
-68.74,-17.326,0.007450604974432496
-68.64,-17.326,0.007004918741636312
-68.54,-17.326,0.006642642274142346
-68.44,-17.326,0.0063626539655859135
-68.34,-17.326,0.006217198828448635
-68.24,-17.326,0.00604014018139065
-68.14,-17.326,0.005905869340817743
-68.04,-17.326,0.005807435883029674
-67.94,-17.326,0.005735891854895046
-67.84,-17.326,0.005684898457716927
-67.74,-17.326,0.005659388315963324
-67.64,-17.326,0.005635310709752242
-71.34,-17.426,0.02956240347997277
-71.24,-17.426,0.03238326852329842
-71.14,-17.426,0.03457880258055292
-71.04,-17.426,0.0356609340310734
-70.94,-17.426,0.0355300198794173
-70.84,-17.426,0.03452883044093248
-70.74,-17.426,0.03305923956345191
-70.64,-17.426,0.03184041950393296
-70.54,-17.426,0.030369451652506388
-70.44,-17.426,0.028974225453380107
-70.34,-17.426,0.027637028971029015
-70.24,-17.426,0.026321768766361844
-70.14,-17.426,0.025160653611130877
-70.04,-17.426,0.02375558840129554
-69.94,-17.426,0.022278889296666462
-69.84,-17.426,0.020792140552385378
-69.74,-17.426,0.019198379035546352
-69.64,-17.426,0.017556468764479062
-69.54,-17.426,0.015933494082206453
-69.44,-17.426,0.014406783085711122
-69.34,-17.426,0.013023157234801217
-69.24,-17.426,0.011792547641981874
-69.14,-17.426,0.010716207117326364
-69.04,-17.426,0.009783550564611913
-68.94,-17.426,0.008977546928548675
-68.84,-17.426,0.008389197008319249
-68.74,-17.426,0.00781702638229207
-68.64,-17.426,0.007354386561810295
-68.54,-17.426,0.006967033511375851
-68.44,-17.426,0.006741499186697753
-68.34,-17.426,0.006495074364866331
-68.24,-17.426,0.006302714055229481
-68.14,-17.426,0.0061560572690078095
-68.04,-17.426,0.00604582797983416
-67.94,-17.426,0.0059714628957438076
-67.84,-17.426,0.0059216783277782
-67.74,-17.426,0.005891951516654553
-67.64,-17.426,0.005858769959752639
-67.54,-17.426,0.005844848849529721
-71.54,-17.526,0.02401144192531643
-71.44,-17.526,0.02638411616353499
-71.34,-17.526,0.028740992441340336
-71.24,-17.526,0.03077489756732973
-71.14,-17.526,0.03212732060071566
-71.04,-17.526,0.032585454977760914
-70.94,-17.526,0.03222195658505556
-70.84,-17.526,0.03127478562236825
-70.74,-17.526,0.030096034450723553
-70.64,-17.526,0.029261495256239
-70.54,-17.526,0.028218298298696685
-70.44,-17.526,0.02725932513968347
-70.34,-17.526,0.026318804800690317
-70.24,-17.526,0.025487122820825246
-70.14,-17.526,0.024340373032425127
-70.04,-17.526,0.02304663769762722
-69.94,-17.526,0.021730483518880586
-69.84,-17.526,0.02033022919232916
-69.74,-17.526,0.01889388156925761
-69.64,-17.526,0.017433582528843423
-69.54,-17.526,0.015991817998987076
-69.44,-17.526,0.014613162093709244
-69.34,-17.526,0.013336766960948128
-69.24,-17.526,0.012175781975935659
-69.14,-17.526,0.011130702908639954
-69.04,-17.526,0.010199619242369545
-68.94,-17.526,0.00947433246471684
-68.84,-17.526,0.00877924982896586
-68.74,-17.526,0.008182188134628593
-68.64,-17.526,0.007685044730031578
-68.54,-17.526,0.007361431929467995
-68.44,-17.526,0.007030528874308358
-68.34,-17.526,0.006766189126669743
-68.24,-17.526,0.006558774087692584
-68.14,-17.526,0.006399732842232411
-68.04,-17.526,0.006281534399512457
-67.94,-17.526,0.006197509736521914
-67.84,-17.526,0.006139674108379181
-67.74,-17.526,0.006106697430281442
-67.64,-17.526,0.006061452048002772
