lon,lat
-71.073,-17.226
-70.973,-17.226
-70.873,-17.226
-70.773,-17.226
-70.673,-17.226
-70.573,-17.226
-70.473,-17.226
-70.373,-17.226
-70.273,-17.226
-70.173,-17.226
-70.073,-17.226
-69.973,-17.226
-69.873,-17.226
-69.773,-17.226
-69.673,-17.226
-69.573,-17.226
-69.473,-17.226
-69.373,-17.226
-69.273,-17.226
-69.173,-17.226
-69.073,-17.226
-68.973,-17.226
-68.873,-17.226
-68.773,-17.226
-68.673,-17.226
-68.573,-17.226
-68.473,-17.226
-68.373,-17.226
-68.273,-17.226
-68.173,-17.226
-68.073,-17.226
-67.973,-17.226
-67.873,-17.226
-67.773,-17.226
-67.673,-17.226
-71.273,-17.326
-71.173,-17.326
-71.073,-17.326
-70.973,-17.326
-70.873,-17.326
-70.773,-17.326
-70.673,-17.326
-70.573,-17.326
-70.473,-17.326
-70.373,-17.326
-70.273,-17.326
-70.173,-17.326
-70.073,-17.326
-69.973,-17.326
-69.873,-17.326
-69.773,-17.326
-69.673,-17.326
-69.573,-17.326
-69.473,-17.326
-69.373,-17.326
-69.273,-17.326
-69.173,-17.326
-69.073,-17.326
-68.973,-17.326
-68.873,-17.326
-68.773,-17.326
-68.673,-17.326
-68.573,-17.326
-68.473,-17.326
-68.373,-17.326
-68.273,-17.326
-68.173,-17.326
-68.073,-17.326
-67.973,-17.326
-67.873,-17.326
-67.773,-17.326
-67.673,-17.326
-67.573,-17.326
-71.373,-17.426
-71.273,-17.426
-71.173,-17.426
-71.073,-17.426
-70.973,-17.426
-70.873,-17.426
-70.773,-17.426
-70.673,-17.426
-70.573,-17.426
-70.473,-17.426
-70.373,-17.426
-70.273,-17.426
-70.173,-17.426
-70.073,-17.426
-69.973,-17.426
-69.873,-17.426
-69.773,-17.426
-69.673,-17.426
-69.573,-17.426
-69.473,-17.426
-69.373,-17.426
-69.273,-17.426
-69.173,-17.426
-69.073,-17.426
-68.973,-17.426
-68.873,-17.426
-68.773,-17.426
-68.673,-17.426
-68.573,-17.426
-68.473,-17.426
-68.373,-17.426
-68.273,-17.426
-68.173,-17.426
-68.073,-17.426
-67.973,-17.426
-67.873,-17.426
-67.773,-17.426
-67.673,-17.426
-67.573,-17.426
-71.573,-17.526
-71.473,-17.526
-71.373,-17.526
-71.273,-17.526
-71.173,-17.526
-71.073,-17.526
-70.973,-17.526
-70.873,-17.526
-70.773,-17.526
-70.673,-17.526
-70.573,-17.526
-70.473,-17.526
-70.373,-17.526
-70.273,-17.526
-70.173,-17.526
-70.073,-17.526
-69.973,-17.526
-69.873,-17.526
-69.773,-17.526
-69.673,-17.526
-69.573,-17.526
-69.473,-17.526
-69.373,-17.526
-69.273,-17.526
-69.173,-17.526
-69.073,-17.526
-68.973,-17.526
-68.873,-17.526
-68.773,-17.526
-68.673,-17.526
-68.573,-17.526
-68.473,-17.526
-68.373,-17.526
-68.273,-17.526
-68.173,-17.526
-68.073,-17.526
-67.973,-17.526
-67.873,-17.526
-67.773,-17.526
-67.673,-17.526
-67.573,-17.526
-71.673,-17.626
-71.573,-17.626
-71.473,-17.626
-71.373,-17.626
-71.273,-17.626
-71.173,-17.626
-71.073,-17.626
-70.973,-17.626
-70.873,-17.626
-70.773,-17.626
-70.673,-17.626
-70.573,-17.626
-70.473,-17.626
-70.373,-17.626
-70.273,-17.626
-70.173,-17.626
-70.073,-17.626
-69.973,-17.626
-69.873,-17.626
-69.773,-17.626
-69.673,-17.626
-69.573,-17.626
-69.473,-17.626
-69.373,-17.626
-69.273,-17.626
-69.173,-17.626
-69.073,-17.626
-68.973,-17.626
-68.873,-17.626
-68.773,-17.626
-68.673,-17.626
-68.573,-17.626
-68.473,-17.626
-68.373,-17.626
-68.273,-17.626
-68.173,-17.626
-68.073,-17.626
-67.973,-17.626
-67.873,-17.626
-67.773,-17.626
-67.673,-17.626
-67.573,-17.626
-67.473,-17.626
-71.873,-17.726
-71.773,-17.726
-71.673,-17.726
-71.573,-17.726
-71.473,-17.726
-71.373,-17.726
-71.273,-17.726
-71.173,-17.726
-71.073,-17.726
-70.973,-17.726
-70.873,-17.726
-70.773,-17.726
-70.673,-17.726
-70.573,-17.726
-70.473,-17.726
-70.373,-17.726
-70.273,-17.726
-70.173,-17.726
-70.073,-17.726
-69.973,-17.726
-69.873,-17.726
-69.773,-17.726
-69.673,-17.726
-69.573,-17.726
-69.473,-17.726
-69.373,-17.726
-69.273,-17.726
-69.173,-17.726
-69.073,-17.726
-68.973,-17.726
-68.873,-17.726
-68.773,-17.726
-68.673,-17.726
-68.573,-17.726
-68.473,-17.726
-68.373,-17.726
-68.273,-17.726
-68.173,-17.726
-68.073,-17.726
-67.973,-17.726
-67.873,-17.726
-67.773,-17.726
-67.673,-17.726
-67.573,-17.726
-67.473,-17.726
-71.973,-17.826
-71.873,-17.826
-71.773,-17.826
-71.673,-17.826
-71.573,-17.826
-71.473,-17.826
-71.373,-17.826
-71.273,-17.826
-71.173,-17.826
-71.073,-17.826
-70.973,-17.826
-70.873,-17.826
-70.773,-17.826
-70.673,-17.826
-70.573,-17.826
-70.473,-17.826
-70.373,-17.826
-70.273,-17.826
-70.173,-17.826
-70.073,-17.826
-69.973,-17.826
-69.873,-17.826
-69.773,-17.826
-69.673,-17.826
-69.573,-17.826
-69.473,-17.826
-69.373,-17.826
-69.273,-17.826
-69.173,-17.826
-69.073,-17.826
-68.973,-17.826
-68.873,-17.826
-68.773,-17.826
-68.673,-17.826
-68.573,-17.826
-68.473,-17.826
-68.373,-17.826
-68.273,-17.826
-68.173,-17.826
-68.073,-17.826
-67.973,-17.826
-67.873,-17.826
-67.773,-17.826
-67.673,-17.826
-67.573,-17.826
-67.473,-17.826
-67.373,-17.826
-72.073,-17.926
-71.973,-17.926
-71.873,-17.926
-71.773,-17.926
-71.673,-17.926
-71.573,-17.926
-71.473,-17.926
-71.373,-17.926
-71.273,-17.926
-71.173,-17.926
-71.073,-17.926
-70.973,-17.926
-70.873,-17.926
-70.773,-17.926
-70.673,-17.926
-70.573,-17.926
-70.473,-17.926
-70.373,-17.926
-70.273,-17.926
-70.173,-17.926
-70.073,-17.926
-69.973,-17.926
-69.873,-17.926
-69.773,-17.926
-69.673,-17.926
-69.573,-17.926
-69.473,-17.926
-69.373,-17.926
-69.273,-17.926
-69.173,-17.926
-69.073,-17.926
-68.973,-17.926
-68.873,-17.926
-68.773,-17.926
-68.673,-17.926
-68.573,-17.926
-68.473,-17.926
-68.373,-17.926
-68.273,-17.926
-68.173,-17.926
-68.073,-17.926
-67.973,-17.926
-67.873,-17.926
-67.773,-17.926
-67.673,-17.926
-67.573,-17.926
-67.473,-17.926
-67.373,-17.926
-72.273,-18.026
-72.173,-18.026
-72.073,-18.026
-71.973,-18.026
-71.873,-18.026
-71.773,-18.026
