lon,lat
-71.273,-17.626
-70.773,-17.626
-70.273,-17.626
-69.773,-17.626
-69.273,-17.626
-68.773,-17.626
-68.273,-17.626
-67.773,-17.626
-72.273,-18.126
-71.773,-18.126
-71.273,-18.126
-70.773,-18.126
-70.273,-18.126
-69.773,-18.126
-69.273,-18.126
-68.773,-18.126
-68.273,-18.126
-67.773,-18.126
-67.273,-18.126
-72.273,-18.626
-71.773,-18.626
-71.273,-18.626
-70.773,-18.626
-70.273,-18.626
-69.773,-18.626
-69.273,-18.626
-68.773,-18.626
-68.273,-18.626
-67.773,-18.626
-67.273,-18.626
-71.773,-19.126
-71.273,-19.126
-70.773,-19.126
-70.273,-19.126
-69.773,-19.126
-69.273,-19.126
-68.773,-19.126
-68.273,-19.126
-67.773,-19.126
-67.273,-19.126
-71.773,-19.626
-71.273,-19.626
-70.773,-19.626
-70.273,-19.626
-69.773,-19.626
-69.273,-19.626
-68.773,-19.626
-68.273,-19.626
-67.773,-19.626
-67.273,-19.626
-66.773,-19.626
-71.273,-20.126
-70.773,-20.126
-70.273,-20.126
-69.773,-20.126
-69.273,-20.126
-68.773,-20.126
-68.273,-20.126
-67.773,-20.126
-67.273,-20.126
-66.773,-20.126
-71.273,-20.626
-70.773,-20.626
-70.273,-20.626
-69.773,-20.626
-69.273,-20.626
-68.773,-20.626
-68.273,-20.626
-67.773,-20.626
-67.273,-20.626
-66.773,-20.626
-66.273,-20.626
-71.273,-21.126
-70.773,-21.126
-70.273,-21.126
-69.773,-21.126
-69.273,-21.126
-68.773,-21.126
-68.273,-21.126
-67.773,-21.126
-67.273,-21.126
-66.773,-21.126
-66.273,-21.126
-71.273,-21.626
-70.773,-21.626
-70.273,-21.626
-69.773,-21.626
-69.273,-21.626
-68.773,-21.626
-68.273,-21.626
-67.773,-21.626
-67.273,-21.626
-66.773,-21.626
-66.273,-21.626
-65.773,-21.626
-71.273,-22.126
-70.773,-22.126
-70.273,-22.126
-69.773,-22.126
-69.273,-22.126
-68.773,-22.126
-68.273,-22.126
-67.773,-22.126
-67.273,-22.126
-66.773,-22.126
-66.273,-22.126
-65.773,-22.126
-71.273,-22.626
-70.773,-22.626
-70.273,-22.626
-69.773,-22.626
-69.273,-22.626
-68.773,-22.626
-68.273,-22.626
-67.773,-22.626
-67.273,-22.626
-66.773,-22.626
-66.273,-22.626
-65.773,-22.626
-71.273,-23.126
-70.773,-23.126
-70.273,-23.126
-69.773,-23.126
-69.273,-23.126
-68.773,-23.126
-68.273,-23.126
-67.773,-23.126
-67.273,-23.126
-66.773,-23.126
-66.273,-23.126
-65.773,-23.126
-71.273,-23.626
-70.773,-23.626
-70.273,-23.626
-69.773,-23.626
-69.273,-23.626
-68.773,-23.626
-68.273,-23.626
-67.773,-23.626
-67.273,-23.626
-66.773,-23.626
-66.273,-23.626
-71.273,-24.126
-70.773,-24.126
-70.273,-24.126
-69.773,-24.126
-69.273,-24.126
-68.773,-24.126
-68.273,-24.126
-67.773,-24.126
-67.273,-24.126
-66.773,-24.126
-71.273,-24.626
-70.773,-24.626
-70.273,-24.626
-69.773,-24.626
-69.273,-24.626
-68.773,-24.626
-68.273,-24.626
-67.773,-24.626
-67.273,-24.626
-66.773,-24.626
-71.273,-25.126
-70.773,-25.126
-70.273,-25.126
-69.773,-25.126
-69.273,-25.126
-68.773,-25.126
-68.273,-25.126
-67.773,-25.126
-67.273,-25.126
-71.273,-25.626
-70.773,-25.626
-70.273,-25.626
-69.773,-25.626
-69.273,-25.626
-68.773,-25.626
-68.273,-25.626
-67.773,-25.626
-67.273,-25.626
-71.773,-26.126
-71.273,-26.126
-70.773,-26.126
-70.273,-26.126
-69.773,-26.126
-69.273,-26.126
-68.773,-26.126
-68.273,-26.126
-67.773,-26.126
-67.273,-26.126
-71.773,-26.626
-71.273,-26.626
-70.773,-26.626
-70.273,-26.626
-69.773,-26.626
-69.273,-26.626
-68.773,-26.626
-68.273,-26.626
-67.773,-26.626
-71.773,-27.126
-71.273,-27.126
-70.773,-27.126
-70.273,-27.126
-69.773,-27.126
-69.273,-27.126
-68.773,-27.126
-68.273,-27.126
-67.773,-27.126
-71.773,-27.626
-71.273,-27.626
-70.773,-27.626
-70.273,-27.626
-69.773,-27.626
-69.273,-27.626
-68.773,-27.626
-68.273,-27.626
-67.773,-27.626
-71.773,-28.126
-71.273,-28.126
-70.773,-28.126
-70.273,-28.126
-69.773,-28.126
-69.273,-28.126
-68.773,-28.126
-68.273,-28.126
-67.773,-28.126
-72.273,-28.626
-71.773,-28.626
-71.273,-28.626
-70.773,-28.626
-70.273,-28.626
-69.773,-28.626
