lon,lat
-71.040,-17.226
-70.940,-17.226
-70.840,-17.226
-70.740,-17.226
-70.640,-17.226
-70.540,-17.226
-70.440,-17.226
-70.340,-17.226
-70.240,-17.226
-70.140,-17.226
-70.040,-17.226
-69.940,-17.226
-69.840,-17.226
-69.740,-17.226
-69.640,-17.226
-69.540,-17.226
-69.440,-17.226
-69.340,-17.226
-69.240,-17.226
-69.140,-17.226
-69.040,-17.226
-68.940,-17.226
-68.840,-17.226
-68.740,-17.226
-68.640,-17.226
-68.540,-17.226
-68.440,-17.226
-68.340,-17.226
-68.240,-17.226
-68.140,-17.226
-68.040,-17.226
-67.940,-17.226
-67.840,-17.226
-67.740,-17.226
-67.640,-17.226
-71.240,-17.326
-71.140,-17.326
-71.040,-17.326
-70.940,-17.326
-70.840,-17.326
-70.740,-17.326
-70.640,-17.326
-70.540,-17.326
-70.440,-17.326
-70.340,-17.326
-70.240,-17.326
-70.140,-17.326
-70.040,-17.326
-69.940,-17.326
-69.840,-17.326
-69.740,-17.326
-69.640,-17.326
-69.540,-17.326
-69.440,-17.326
-69.340,-17.326
-69.240,-17.326
-69.140,-17.326
-69.040,-17.326
-68.940,-17.326
-68.840,-17.326
-68.740,-17.326
-68.640,-17.326
-68.540,-17.326
-68.440,-17.326
-68.340,-17.326
-68.240,-17.326
-68.140,-17.326
-68.040,-17.326
-67.940,-17.326
-67.840,-17.326
-67.740,-17.326
-67.640,-17.326
-71.340,-17.426
-71.240,-17.426
-71.140,-17.426
-71.040,-17.426
-70.940,-17.426
-70.840,-17.426
-70.740,-17.426
-70.640,-17.426
-70.540,-17.426
-70.440,-17.426
-70.340,-17.426
-70.240,-17.426
-70.140,-17.426
-70.040,-17.426
-69.940,-17.426
-69.840,-17.426
-69.740,-17.426
-69.640,-17.426
-69.540,-17.426
-69.440,-17.426
-69.340,-17.426
-69.240,-17.426
-69.140,-17.426
-69.040,-17.426
-68.940,-17.426
-68.840,-17.426
-68.740,-17.426
-68.640,-17.426
-68.540,-17.426
-68.440,-17.426
-68.340,-17.426
-68.240,-17.426
-68.140,-17.426
-68.040,-17.426
-67.940,-17.426
-67.840,-17.426
-67.740,-17.426
-67.640,-17.426
-67.540,-17.426
-71.540,-17.526
-71.440,-17.526
-71.340,-17.526
-71.240,-17.526
-71.140,-17.526
-71.040,-17.526
-70.940,-17.526
-70.840,-17.526
-70.740,-17.526
-70.640,-17.526
-70.540,-17.526
-70.440,-17.526
-70.340,-17.526
-70.240,-17.526
-70.140,-17.526
-70.040,-17.526
-69.940,-17.526
-69.840,-17.526
-69.740,-17.526
-69.640,-17.526
-69.540,-17.526
-69.440,-17.526
-69.340,-17.526
-69.240,-17.526
-69.140,-17.526
-69.040,-17.526
-68.940,-17.526
-68.840,-17.526
-68.740,-17.526
-68.640,-17.526
-68.540,-17.526
-68.440,-17.526
-68.340,-17.526
-68.240,-17.526
-68.140,-17.526
-68.040,-17.526
-67.940,-17.526
-67.840,-17.526
-67.740,-17.526
-67.640,-17.526
-67.540,-17.526
-71.640,-17.626
-71.540,-17.626
-71.440,-17.626
-71.340,-17.626
-71.240,-17.626
-71.140,-17.626
-71.040,-17.626
-70.940,-17.626
-70.840,-17.626
-70.740,-17.626
-70.640,-17.626
-70.540,-17.626
-70.440,-17.626
-70.340,-17.626
-70.240,-17.626
-70.140,-17.626
-70.040,-17.626
-69.940,-17.626
-69.840,-17.626
-69.740,-17.626
-69.640,-17.626
-69.540,-17.626
-69.440,-17.626
-69.340,-17.626
-69.240,-17.626
-69.140,-17.626
-69.040,-17.626
-68.940,-17.626
-68.840,-17.626
-68.740,-17.626
-68.640,-17.626
-68.540,-17.626
-68.440,-17.626
-68.340,-17.626
-68.240,-17.626
-68.140,-17.626
-68.040,-17.626
-67.940,-17.626
-67.840,-17.626
-67.740,-17.626
-67.640,-17.626
-67.540,-17.626
-71.840,-17.726
-71.740,-17.726
-71.640,-17.726
-71.540,-17.726
-71.440,-17.726
-71.340,-17.726
-71.240,-17.726
-71.140,-17.726
-71.040,-17.726
-70.940,-17.726
-70.840,-17.726
-70.740,-17.726
-70.640,-17.726
-70.540,-17.726
-70.440,-17.726
-70.340,-17.726
-70.240,-17.726
-70.140,-17.726
-70.040,-17.726
-69.940,-17.726
-69.840,-17.726
-69.740,-17.726
-69.640,-17.726
-69.540,-17.726
-69.440,-17.726
-69.340,-17.726
-69.240,-17.726
-69.140,-17.726
-69.040,-17.726
-68.940,-17.726
-68.840,-17.726
-68.740,-17.726
-68.640,-17.726
-68.540,-17.726
-68.440,-17.726
-68.340,-17.726
-68.240,-17.726
-68.140,-17.726
-68.040,-17.726
-67.940,-17.726
-67.840,-17.726
-67.740,-17.726
-67.640,-17.726
-67.540,-17.726
-67.440,-17.726
-71.940,-17.826
-71.840,-17.826
-71.740,-17.826
-71.640,-17.826
-71.540,-17.826
-71.440,-17.826
-71.340,-17.826
-71.240,-17.826
-71.140,-17.826
-71.040,-17.826
-70.940,-17.826
-70.840,-17.826
-70.740,-17.826
-70.640,-17.826
-70.540,-17.826
-70.440,-17.826
-70.340,-17.826
-70.240,-17.826
-70.140,-17.826
-70.040,-17.826
-69.940,-17.826
-69.840,-17.826
-69.740,-17.826
-69.640,-17.826
-69.540,-17.826
-69.440,-17.826
-69.340,-17.826
-69.240,-17.826
-69.140,-17.826
-69.040,-17.826
-68.940,-17.826
-68.840,-17.826
-68.740,-17.826
